阿	$ddcmd(阿,阿[aa])	aaek#序5000
绗	$ddcmd(绗,绗[hhs])	hhsd#序14706
颃	$ddcmd(颃,颃[hhw])	hhwa#序14705
顸	$ddcmd(顸,顸[hja])	hjaa#序14704
菡	$ddcmd(菡,菡[hjc])	hjck#序14703
蚶	$ddcmd(蚶,蚶[hji])	hjic#序14702
阚	$ddcmd(阚,阚[hjm])	hjmw#序14701
鼾	$ddcmd(鼾,鼾[hjp])	hjpu#序14700
犴	$ddcmd(犴,犴[anqu])	hjqu#序14699
垾	$ddcmd(垾,垾[hjt])	hjtu#序14698
踝	$ddcmd(踝,踝[hkz])	hkzn#序14697
鳇	$ddcmd(鳇,鳇[hla])	hlaw#序14696
隍	$ddcmd(隍,隍[hle])	hlew#序14695
喤	$ddcmd(喤,喤[hlk])	hlkw#序14694
媓	$ddcmd(媓,媓[hln])	hlnw#序14693
徨	$ddcmd(徨,徨[hlr])	hlrw#序14692
璜	$ddcmd(璜,璜[hlw])	hlwb#序14691
遑	$ddcmd(遑,遑[hlz])	hlzb#序14690
夥	$ddcmd(夥,夥[hoa])	hoad#序14689
彟	$ddcmd(彟,彟[hoe])	hoey#序14688
蠖	$ddcmd(蠖,蠖[hoi])	hoiy#序14687
耠	$ddcmd(耠,耠[hol])	holk#序14686
鲩	$ddcmd(鲩,鲩[hra])	hrae#序14685
荁	$ddcmd(荁,荁[hrc])	hrca#序14684
峘	$ddcmd(峘,峘[hre])	hrea#序14683
㬊	$ddcmd(㬊,㬊[hro])	hroy#序14682
獾	$ddcmd(獾,獾[hrq])	hrqf#序14681
垸	$ddcmd(垸,垸[hrt])	hrte#序14680
蕻	$ddcmd(蕻,蕻[hsc])	hscb#序14679
黉	$ddcmd(黉,黉[hsx])	hsxb#序14678
岵	$ddcmd(岵,岵[hue])	huek#序14677
斛	$ddcmd(斛,斛[huj])	huju#序14676
昈	$ddcmd(昈,昈[huo])	huoh#序14675
祜	$ddcmd(祜,祜[hup])	hupk#序14674
笏	$ddcmd(笏,笏[huv])	huvp#序14673
虺	$ddcmd(虺,虺[hva])	hvai#序14672
茴	$ddcmd(茴,茴[hvc])	hvck#序14671
砉	$ddcmd(砉,砉[hxf])	hxfu#序14670
阍	$ddcmd(阍,阍[hym])	hymo#序14669
惛	$ddcmd(惛,惛[hyx])	hyxo#序14668
诨	$ddcmd(诨,诨[hyy])	hyyi#序14667
瘊	$ddcmd(瘊,瘊[hzb])	hzbu#序14666
骺	$ddcmd(骺,骺[hzg])	hzgk#序14665
糇	$ddcmd(糇,糇[hzm])	hzmu#序14664
堠	$ddcmd(堠,堠[hzt])	hztu#序14663
篌	$ddcmd(篌,篌[hzv])	hzvu#序14662
鲎	$ddcmd(鲎,鲎[hzx])	hzxa#序14661
逅	$ddcmd(逅,逅[hzz])	hzzp#序14660
嵖	$ddcmd(嵖,嵖[iae])	iaea#序14659
锸	$ddcmd(锸,锸[iaj])	iaja#序14658
姹	$ddcmd(姹,姹[ian])	ianq#序14657
衩	$ddcmd(衩,衩[iap])	iapd#序14656
猹	$ddcmd(猹,猹[iaq])	iaqa#序14655
侘	$ddcmd(侘,侘[iar])	iarq#序14654
垞	$ddcmd(垞,垞[iat])	iatq#序14653
弨	$ddcmd(弨,弨[icg])	icgk#序14652
耖	$ddcmd(耖,耖[icl])	iclp#序14651
槱	$ddcmd(槱,槱[icm])	icmh#序14650
晁	$ddcmd(晁,晁[ico])	icod#序14649
怊	$ddcmd(怊,怊[icx])	icxk#序14648
虿	$ddcmd(虿,虿[ida])	idai#序14647
瘥	$ddcmd(瘥,瘥[cdbg])	idbg#序14646
㬚	$ddcmd(㬚,㬚[ieo])	ieow#序14645
坼	$ddcmd(坼,坼[iet])	ietd#序14644
宸	$ddcmd(宸,宸[ifb])	ifbn#序14643
抻	$ddcmd(抻,抻[iff])	iffa#序14642
碜	$ddcmd(碜,碜[ifu])	ifup#序14641
琛	$ddcmd(琛,琛[ifw])	ifwm#序14640
宬	$ddcmd(宬,宬[igb])	igbv#序14639
庱	$ddcmd(庱,庱[igg])	iggw#序14638
蛏	$ddcmd(蛏,蛏[igi])	igit#序14637
偁	$ddcmd(偁,偁[ifra])	igra#序14636
琤	$ddcmd(琤,琤[igw])	igwa#序14635
阊	$ddcmd(阊,阊[ihm])	ihmo#序14634
嫦	$ddcmd(嫦,嫦[ihn])	ihnj#序14633
茌	$ddcmd(茌,茌[iic])	iicu#序14632
螭	$ddcmd(螭,螭[iii])	iiid#序14631
啻	$ddcmd(啻,啻[iil])	iilk#序14630
鸱	$ddcmd(鸱,鸱[iin])	iinp#序14629
敕	$ddcmd(敕,敕[iiw])	iiwa#序14628
觇	$ddcmd(觇,觇[ija])	ijaj#序14627
冁	$ddcmd(冁,冁[ijb])	ijbn#序14626
蒇	$ddcmd(蒇,蒇[ijc])	ijcb#序14625
巉	$ddcmd(巉,巉[ije])	ijev#序14624
廛	$ddcmd(廛,廛[ijg])	ijgt#序14623
啴	$ddcmd(啴,啴[ijk])	ijka#序14622
旵	$ddcmd(旵,旵[ijo])	ijoe#序14621
儳	$ddcmd(儳,儳[ijr])	ijrd#序14620
躔	$ddcmd(躔,躔[ijz])	ijzt#序14619
搋	$ddcmd(搋,搋[ikf])	ikfh#序14618
踹	$ddcmd(踹,踹[ikz])	ikza#序14617
噇	$ddcmd(噇,噇[ilk])	ilka#序14616
惙	$ddcmd(惙,惙[iox])	ioxy#序14615
踔	$ddcmd(踔,踔[ioz])	iozu#序14614
氚	$ddcmd(氚,氚[irq])	irqa#序14613
堾	$ddcmd(堾,堾[irt])	irto#序14612
遄	$ddcmd(遄,遄[irz])	irze#序14611
茺	$ddcmd(茺,茺[isc])	isce#序14610
舂	$ddcmd(舂,舂[isf])	isfa#序14609
埫	$ddcmd(埫,埫[ist])	istk#序14608
艟	$ddcmd(艟,艟[isv])	isva#序14607
䝙	$ddcmd(䝙,䝙[iuv])	iuvk#序14606
怵	$ddcmd(怵,怵[iux])	iuxd#序14605
陲	$ddcmd(陲,陲[ive])	ivea#序14604
圌	$ddcmd(圌,圌[irka])	ivka#序14603
倕	$ddcmd(倕,倕[ivr])	ivra#序14602
惙	$ddcmd(惙,惙[iox])	ivxy#序14601
欻	$ddcmd(欻,欻[ixh])	ixhq#序14600
朐	$ddcmd(朐,朐[iyo])	iyok#序14599
瘳	$ddcmd(瘳,瘳[izb])	izbp#序14598
帱	$ddcmd(帱,帱[czj])	izjc#序14597
婤	$ddcmd(婤,婤[izn])	iznk#序14596
赆	$ddcmd(赆,赆[jbb])	jbbd#序14595
墐	$ddcmd(墐,墐[jbt])	jbta#序14594
瑾	$ddcmd(瑾,瑾[jbw])	jbwa#序14593
慬	$ddcmd(慬,慬[jbx])	jbxa#序14592
麂	$ddcmd(麂,麂[jil])	jilj#序14591
惎	$ddcmd(惎,惎[jiq])	jiqx#序14590
阱	$ddcmd(阱,阱[jke])	jkea#序14589
䴖	$ddcmd(䴖,䴖[jkn])	jknf#序14588
獍	$ddcmd(獍,獍[jkq])	jkqe#序14587
耩	$ddcmd(耩,耩[jll])	jlla#序14586
犟	$ddcmd(犟,犟[jln])	jlng#序14585
膙	$ddcmd(膙,膙[jlo])	jloi#序14584
礓	$ddcmd(礓,礓[jlu])	jlua#序14583
裥	$ddcmd(裥,裥[jmp])	jmpo#序14582
跤	$ddcmd(跤,跤[jnz])	jnzf#序14581
鲒	$ddcmd(鲒,鲒[jpa])	jpak#序14580
蚧	$ddcmd(蚧,蚧[jpi])	jpia#序14579
喈	$ddcmd(喈,喈[jpk])	jpkb#序14578
玠	$ddcmd(玠,玠[jpw])	jpwa#序14577
悈	$ddcmd(悈,悈[jpx])	jpxg#序14576
㠇	$ddcmd(㠇,㠇[jqe])	jqed#序14575
啾	$ddcmd(啾,啾[jqk])	jqkh#序14574
桕	$ddcmd(桕,桕[jqm])	jqma#序14573
僦	$ddcmd(僦,僦[jqr])	jqrd#序14572
涓	$ddcmd(涓,涓[jrd])	jrdo#序14571
嶲	$ddcmd(嶲,嶲[gveg])	jreg#序14570
棬	$ddcmd(棬,棬[jrm])	jrmv#序14569
蠲	$ddcmd(蠲,蠲[jrq])	jrqi#序14568
泂	$ddcmd(泂,泂[jsd])	jsdk#序14567
扃	$ddcmd(扃,扃[jsh])	jshk#序14566
冏	$ddcmd(冏,冏[jsk])	jskk#序14565
炅	$ddcmd(炅,炅[gvo])	jsoh#序14564
䌹	$ddcmd(䌹,䌹[jss])	jssk#序14563
坰	$ddcmd(坰,坰[jst])	jstk#序14562
迥	$ddcmd(迥,迥[jsz])	jszk#序14561
崛	$ddcmd(崛,崛[jte])	jtek#序14560
爝	$ddcmd(爝,爝[jth])	jthc#序14559
厥	$ddcmd(厥,厥[jti])	jtiq#序14558
镢	$ddcmd(镢,镢[jtj])	jtjq#序14557
桷	$ddcmd(桷,桷[jtm])	jtmj#序14556
矍	$ddcmd(矍,矍[jto])	jtoy#序14555
獗	$ddcmd(獗,獗[jtq])	jtqq#序14554
埆	$ddcmd(埆,埆[jtt])	jttj#序14553
玦	$ddcmd(玦,玦[jtw])	jtwn#序14552
蹶	$ddcmd(蹶,蹶[jtz])	jtzq#序14551
犋	$ddcmd(犋,犋[jun])	junb#序14550
瞿	$ddcmd(瞿,瞿[juo])	juof#序14549
弆	$ddcmd(弆,弆[jut])	jutc#序14548
琚	$ddcmd(琚,琚[juw])	juwk#序14547
讵	$ddcmd(讵,讵[juy])	juya#序14546
蛱	$ddcmd(蛱,蛱[jxi])	jxin#序14545
胛	$ddcmd(胛,胛[jxo])	jxoa#序14544
笳	$ddcmd(笳,笳[jxv])	jxvk#序14543
恝	$ddcmd(恝,恝[jxx])	jxxf#序14542
捃	$ddcmd(捃,捃[jyf])	jyfk#序14541
焌	$ddcmd(焌,焌[jyh])	jyhw#序14540
晙	$ddcmd(晙,晙[jyo])	jyow#序14539
珺	$ddcmd(珺,珺[jyw])	jywk#序14538
胩	$ddcmd(胩,胩[kao])	kaod#序14537
栲	$ddcmd(栲,栲[kcm])	kcmg#序14536
犒	$ddcmd(犒,犒[kcn])	kcnk#序14535
蒈	$ddcmd(蒈,蒈[kdc])	kdcb#序14534
岢	$ddcmd(岢,岢[kee])	keek#序14533
髁	$ddcmd(髁,髁[keg])	kegn#序14532
锞	$ddcmd(锞,锞[kej])	kejn#序14531
瞌	$ddcmd(瞌,瞌[keo])	keom#序14530
氪	$ddcmd(氪,氪[keq])	keqe#序14529
悈	$ddcmd(悈,悈[jpx])	kexg#序14528
裉	$ddcmd(裉,裉[kfp])	kfpn#序14527
珢	$ddcmd(珢,珢[kfw])	kfwy#序14526
钪	$ddcmd(钪,钪[khj])	khjj#序14525
伉	$ddcmd(伉,伉[khr])	khrj#序14524
莰	$ddcmd(莰,莰[kjc])	kjcq#序14523
崁	$ddcmd(崁,崁[kje])	kjeq#序14522
瞰	$ddcmd(瞰,瞰[kjo])	kjow#序14521
蒉	$ddcmd(蒉,蒉[kkc])	kkcb#序14520
蒯	$ddcmd(蒯,蒯[kkd])	kkdc#序14519
郐	$ddcmd(郐,郐[gve])	kker#序14518
㧟	$ddcmd(㧟,㧟[kkf])	kkfk#序14517
贶	$ddcmd(贶,贶[klb])	klbe#序14516
邝	$ddcmd(邝,邝[kle])	kleg#序14515
蛞	$ddcmd(蛞,蛞[koi])	koik#序14514
崆	$ddcmd(崆,崆[kse])	kseg#序14513
倥	$ddcmd(倥,倥[ksr])	ksrg#序14512
埪	$ddcmd(埪,埪[kst])	kstg#序14511
箜	$ddcmd(箜,箜[ksv])	ksvg#序14510
刳	$ddcmd(刳,刳[kud])	kudd#序14509
圐	$ddcmd(圐,圐[kuk])	kukf#序14508
朏	$ddcmd(朏,朏[fwoe])	kuoe#序14507
绔	$ddcmd(绔,绔[kus])	kusg#序14506
矻	$ddcmd(矻,矻[kuu])	kuug#序14505
喾	$ddcmd(喾,喾[kux])	kuxk#序14504
揆	$ddcmd(揆,揆[kvf])	kvfd#序14503
蝰	$ddcmd(蝰,蝰[kvi])	kvit#序14502
馗	$ddcmd(馗,馗[kvj])	kvjo#序14501
睽	$ddcmd(睽,睽[kvo])	kvod#序14500
夔	$ddcmd(夔,夔[kvq])	kvqw#序14499
逵	$ddcmd(逵,逵[kvz])	kvzt#序14498
剋	$ddcmd(剋,剋[kedu])	kwdu#序14497
剋	$ddcmd(剋,剋[kedu])	kwud#序14496
姱	$ddcmd(姱,姱[hunv])	kxnv#序14495
侉	$ddcmd(侉,侉[kxr])	kxrg#序14494
鲲	$ddcmd(鲲,鲲[kya])	kyav#序14493
焜	$ddcmd(焜,焜[kyh])	kyhv#序14492
婫	$ddcmd(婫,婫[hynv])	kynv#序14491
裈	$ddcmd(裈,裈[kyp])	kypi#序14490
壸	$ddcmd(壸,壸[kyu])	kyua#序14489
琨	$ddcmd(琨,琨[kyw])	kywv#序14488
悃	$ddcmd(悃,悃[kyx])	kyxm#序14487
醌	$ddcmd(醌,醌[kyy])	kyyv#序14486
芤	$ddcmd(芤,芤[kzc])	kzcv#序14485
叩	$ddcmd(叩,叩[kze])	kzek#序14484
筘	$ddcmd(筘,筘[kzv])	kzvk#序14483
瘌	$ddcmd(瘌,瘌[lab])	labd#序14482
剌	$ddcmd(剌,剌[lad])	lada#序14481
砬	$ddcmd(砬,砬[lau])	laul#序14480
邋	$ddcmd(邋,邋[laz])	lazv#序14479
瞵	$ddcmd(瞵,瞵[lbo])	lboa#序14478
崂	$ddcmd(崂,崂[lce])	lcel#序14477
铹	$ddcmd(铹,铹[lcj])	lcjl#序14476
耢	$ddcmd(耢,耢[lcl])	lcll#序14475
栳	$ddcmd(栳,栳[lcm])	lcmv#序14474
崃	$ddcmd(崃,崃[lde])	lden#序14473
铼	$ddcmd(铼,铼[ldj])	ldjn#序14472
梾	$ddcmd(梾,梾[ldm])	ldmn#序14471
鳓	$ddcmd(鳓,鳓[lea])	leal#序14470
泐	$ddcmd(泐,泐[led])	ledl#序14469
仂	$ddcmd(仂,仂[ler])	lerl#序14468
饹	$ddcmd(饹,饹[geuk])	leuk#序14467
塄	$ddcmd(塄,塄[lgt])	lgtf#序14466
莨	$ddcmd(莨,莨[lhc])	lhcn#序14465
稂	$ddcmd(稂,稂[lhh])	lhhn#序14464
螂	$ddcmd(螂,螂[lhi])	lhie#序14463
锒	$ddcmd(锒,锒[lhj])	lhjn#序14462
㫰	$ddcmd(㫰,㫰[lho])	lhon#序14461
塱	$ddcmd(塱,塱[lht])	lhtd#序14460
缡	$ddcmd(缡,缡[lis])	liss#序14459
啉	$ddcmd(啉,啉[lbkm])	ljkm#序14458
暕	$ddcmd(暕,暕[jmon])	ljon#序14457
鲮	$ddcmd(鲮,鲮[lka])	lkaw#序14456
坽	$ddcmd(坽,坽[lkt])	lkts#序14455
舲	$ddcmd(舲,舲[lkv])	lkvs#序14454
㥄	$ddcmd(㥄,㥄[lkx])	lkxw#序14453
莨	$ddcmd(莨,莨[lhc])	llcn#序14452
墚	$ddcmd(墚,墚[llt])	lltm#序14451
悢	$ddcmd(悢,悢[llx])	llxn#序14450
踉	$ddcmd(踉,踉[llz])	llzn#序14449
蠊	$ddcmd(蠊,蠊[lmi])	lmin#序14448
梿	$ddcmd(梿,梿[lmm])	lmmz#序14447
裢	$ddcmd(裢,裢[lmp])	lmpz#序14446
蓼	$ddcmd(蓼,蓼[lnc])	lncp#序14445
嘹	$ddcmd(嘹,嘹[lnk])	lnkx#序14444
橑	$ddcmd(橑,橑[lnm])	lnmx#序14443
獠	$ddcmd(獠,獠[lnq])	lnqx#序14442
憭	$ddcmd(憭,憭[lnx])	lnxx#序14441
瘰	$ddcmd(瘰,瘰[lob])	lobs#序14440
脶	$ddcmd(脶,脶[loo])	lood#序14439
硌	$ddcmd(硌,硌[geu])	louk#序14438
蠃	$ddcmd(蠃,蠃[low])	lowd#序14437
鬣	$ddcmd(鬣,鬣[lpa])	lpaa#序14436
捩	$ddcmd(捩,捩[lpf])	lpfq#序14435
䴕	$ddcmd(䴕,䴕[lpn])	lpnd#序14434
脟	$ddcmd(脟,脟[lpo])	lpoc#序14433
埒	$ddcmd(埒,埒[lpt])	lptc#序14432
趔	$ddcmd(趔,趔[lpz])	lpzd#序14431
旒	$ddcmd(旒,旒[lqf])	lqfv#序14430
熘	$ddcmd(熘,熘[lqh])	lqht#序14429
镏	$ddcmd(镏,镏[lqj])	lqjt#序14428
鹠	$ddcmd(鹠,鹠[lqn])	lqnp#序14427
绺	$ddcmd(绺,绺[lqs])	lqsk#序14426
茏	$ddcmd(茏,茏[lsc])	lscl#序14425
栊	$ddcmd(栊,栊[lsm])	lsml#序14424
尨	$ddcmd(尨,尨[lsu])	lsud#序14423
锊	$ddcmd(锊,锊[ltj])	ltjc#序14422
圙	$ddcmd(圙,圙[ltk])	ltka#序14421
僇	$ddcmd(僇,僇[lur])	lurp#序14420
逯	$ddcmd(逯,逯[luz])	luzv#序14419
葎	$ddcmd(葎,葎[lvc])	lvca#序14418
膂	$ddcmd(膂,膂[lvo])	lvof#序14417
垏	$ddcmd(垏,垏[lvt])	lvta#序14416
耒	$ddcmd(耒,耒[lwa])	lwan#序14415
嫘	$ddcmd(嫘,嫘[lwn])	lwns#序14414
羸	$ddcmd(羸,羸[lww])	lwwd#序14413
诔	$ddcmd(诔,诔[lwy])	lwyn#序14412
瘘	$ddcmd(瘘,瘘[lzb])	lzbn#序14411
蒌	$ddcmd(蒌,蒌[lzc])	lzcn#序14410
耧	$ddcmd(耧,耧[lzl])	lzln#序14409
䁖	$ddcmd(䁖,䁖[lzo])	lzon#序14408
偻	$ddcmd(偻,偻[lvrn])	lzrn#序14407
祃	$ddcmd(祃,祃[map])	mapm#序14406
犸	$ddcmd(犸,犸[maq])	maqm#序14405
鳘	$ddcmd(鳘,鳘[mba])	mbar#序14404
苠	$ddcmd(苠,苠[mbc])	mbcq#序14403
泯	$ddcmd(泯,泯[mbd])	mbdq#序14402
岷	$ddcmd(岷,岷[mbe])	mbeq#序14401
旻	$ddcmd(旻,旻[mbo])	mbow#序14400
缗	$ddcmd(缗,缗[mbs])	mbso#序14399
泖	$ddcmd(泖,泖[mcd])	mcde#序14398
旄	$ddcmd(旄,旄[mcf])	mcfm#序14397
蝥	$ddcmd(蝥,蝥[mci])	mcis#序14396
髦	$ddcmd(髦,髦[mcm])	mcma#序14395
牦	$ddcmd(牦,牦[mcn])	mcnm#序14394
耄	$ddcmd(耄,耄[mct])	mctm#序14393
瑁	$ddcmd(瑁,瑁[mcw])	mcwo#序14392
懋	$ddcmd(懋,懋[mcx])	mcxm#序14391
霾	$ddcmd(霾,霾[mdy])	mdya#序14390
鞔	$ddcmd(鞔,鞔[mfg])	mfgv#序14389
钔	$ddcmd(钔,钔[mfj])	mfjm#序14388
亹	$ddcmd(亹,亹[mfw])	mfwq#序14387
㠓	$ddcmd(㠓,㠓[mge])	mgen#序14386
蟒	$ddcmd(蟒,蟒[mgi])	mgic#序14385
黾	$ddcmd(黾,黾[mbkv])	mgkv#序14384
朦	$ddcmd(朦,朦[mgo])	mgon#序14383
尨	$ddcmd(尨,尨[lsu])	mgud#序14382
艋	$ddcmd(艋,艋[mgv])	mgvm#序14381
勐	$ddcmd(勐,勐[mgz])	mgzl#序14380
漭	$ddcmd(漭,漭[mhd])	mhdc#序14379
邙	$ddcmd(邙,邙[mhe])	mhew#序14378
蟒	$ddcmd(蟒,蟒[mgi])	mhic#序14377
牤	$ddcmd(牤,牤[mhn])	mhnv#序14376
尨	$ddcmd(尨,尨[lsu])	mhud#序14375
蘼	$ddcmd(蘼,蘼[mic])	mica#序14374
麋	$ddcmd(麋,麋[mil])	milm#序14373
猕	$ddcmd(猕,猕[miq])	miqx#序14372
敉	$ddcmd(敉,敉[miw])	miwm#序14371
鞔	$ddcmd(鞔,鞔[mfg])	mjgv#序14370
螨	$ddcmd(螨,螨[mji])	mjid#序14369
嫚	$ddcmd(嫚,嫚[mjn])	mjny#序14368
蓂	$ddcmd(蓂,蓂[mkc])	mkcb#序14367
溟	$ddcmd(溟,溟[mkd])	mkdb#序14366
瞑	$ddcmd(瞑,瞑[mko])	mkob#序14365
酩	$ddcmd(酩,酩[mky])	mkyk#序14364
黾	$ddcmd(黾,黾[mbkv])	mmkv#序14363
偭	$ddcmd(偭,偭[mmr])	mmra#序14362
愐	$ddcmd(愐,愐[mmx])	mmxa#序14361
喵	$ddcmd(喵,喵[mnk])	mnkt#序14360
杪	$ddcmd(杪,杪[mnm])	mnmp#序14359
鹋	$ddcmd(鹋,鹋[mnn])	mnnc#序14358
邈	$ddcmd(邈,邈[mnz])	mnzv#序14357
镆	$ddcmd(镆,镆[moj])	mojd#序14356
耱	$ddcmd(耱,耱[mol])	molu#序14355
馍	$ddcmd(馍,馍[mou])	moud#序14354
篾	$ddcmd(篾,篾[mpv])	mpvd#序14353
沐	$ddcmd(沐,沐[mud])	mudm#序14352
钼	$ddcmd(钼,钼[muj])	mujo#序14351
仫	$ddcmd(仫,仫[mur])	murs#序14350
莓	$ddcmd(莓,莓[mwc])	mwcd#序14349
嵋	$ddcmd(嵋,嵋[mwe])	mweo#序14348
袂	$ddcmd(袂,袂[mwp])	mwpn#序14347
蛑	$ddcmd(蛑,蛑[mzi])	mzin#序14346
呣	$ddcmd(呣,呣[mzk])	mzkd#序14345
侔	$ddcmd(侔,侔[mzr])	mzrn#序14344
肭	$ddcmd(肭,肭[nao])	naod#序14343
衲	$ddcmd(衲,衲[nap])	napd#序14342
呶	$ddcmd(呶,呶[nck])	ncky#序14341
峱	$ddcmd(峱,峱[ncq])	ncqe#序14340
垴	$ddcmd(垴,垴[nct])	nctk#序14339
硇	$ddcmd(硇,硇[ncu])	ncux#序14338
瑙	$ddcmd(瑙,瑙[ncw])	ncwx#序14337
艿	$ddcmd(艿,艿[ndc])	ndcp#序14336
柰	$ddcmd(柰,柰[ndm])	ndmx#序14335
佴	$ddcmd(佴,佴[err])	ndre#序14334
迺	$ddcmd(迺,迺[ndz])	ndzx#序14333
媆	$ddcmd(媆,媆[nfn])	nfnd#序14332
恁	$ddcmd(恁,恁[nfx])	nfxr#序14331
攮	$ddcmd(攮,攮[nhf])	nhfy#序14330
囔	$ddcmd(囔,囔[nhk])	nhky#序14329
曩	$ddcmd(曩,曩[nho])	nhoy#序14328
馕	$ddcmd(馕,馕[nhu])	nhuy#序14327
鲵	$ddcmd(鲵,鲵[nia])	niae#序14326
薿	$ddcmd(薿,薿[nic])	nicr#序14325
铌	$ddcmd(铌,铌[nij])	nijv#序14324
猊	$ddcmd(猊,猊[niq])	niqe#序14323
坭	$ddcmd(坭,坭[nit])	nitv#序14322
怩	$ddcmd(怩,怩[nix])	nixv#序14321
蝻	$ddcmd(蝻,蝻[nji])	njiu#序14320
腩	$ddcmd(腩,腩[njo])	njou#序14319
苧	$ddcmd(苧,苧[nkc])	nkcd#序14318
聍	$ddcmd(聍,聍[nke])	nked#序14317
佞	$ddcmd(佞,佞[nkr])	nkrn#序14316
黏	$ddcmd(黏,黏[nmh])	nmhk#序14315
埝	$ddcmd(埝,埝[nmt])	nmtx#序14314
脲	$ddcmd(脲,脲[nno])	nnod#序14313
锘	$ddcmd(锘,锘[noj])	nojk#序14312
喏	$ddcmd(喏,喏[nok])	nokk#序14311
傩	$ddcmd(傩,傩[nor])	norf#序14310
臬	$ddcmd(臬,臬[npp])	nppm#序14309
杻	$ddcmd(杻,杻[izma])	nqma#序14308
妞	$ddcmd(妞,妞[nqn])	nqna#序14307
狃	$ddcmd(狃,狃[nqq])	nqqa#序14306
忸	$ddcmd(忸,忸[nqx])	nqxa#序14305
弩	$ddcmd(弩,弩[nug])	nugn#序14304
帑	$ddcmd(帑,帑[nuj])	nujn#序14303
傉	$ddcmd(傉,傉[nur])	nurc#序14302
孥	$ddcmd(孥,孥[nuz])	nuzn#序14301
钕	$ddcmd(钕,钕[nvj])	nvjn#序14300
恧	$ddcmd(恧,恧[nvx])	nvxa#序14299
耨	$ddcmd(耨,耨[nzl])	nzlc#序14298
呒	$ddcmd(呒,呒[omk])	omkv#序14297
耦	$ddcmd(耦,耦[oul])	ould#序14296
葩	$ddcmd(葩,葩[pac])	pacv#序14295
疱	$ddcmd(疱,疱[pcb])	pcbv#序14294
藨	$ddcmd(藨,藨[bnc])	pcch#序14293
庖	$ddcmd(庖,庖[pcg])	pcgv#序14292
脬	$ddcmd(脬,脬[pco])	pcoz#序14291
狍	$ddcmd(狍,狍[pcq])	pcqv#序14290
蒎	$ddcmd(蒎,蒎[pdc])	pdcn#序14289
哌	$ddcmd(哌,哌[pdk])	pdkn#序14288
湓	$ddcmd(湓,湓[pfd])	pfdm#序14287
弸	$ddcmd(弸,弸[pgg])	pggo#序14286
蟛	$ddcmd(蟛,蟛[pgi])	pgip#序14285
嘭	$ddcmd(嘭,嘭[pgk])	pgkp#序14284
堋	$ddcmd(堋,堋[bgt])	pgto#序14283
怦	$ddcmd(怦,怦[pgx])	pgxu#序14282
滂	$ddcmd(滂,滂[phd])	phdf#序14281
螃	$ddcmd(螃,螃[phi])	phif#序14280
逄	$ddcmd(逄,逄[phz])	phzw#序14279
丕	$ddcmd(丕,丕[pia])	piaa#序14278
陂	$ddcmd(陂,陂[bwep])	piep#序14277
蜱	$ddcmd(蜱,蜱[pii])	piiu#序14276
䴙	$ddcmd(䴙,䴙[pin])	pinu#序14275
裨	$ddcmd(裨,裨[bipu])	pipu#序14274
狉	$ddcmd(狉,狉[piq])	piqa#序14273
爿	$ddcmd(爿,爿[pja])	pjap#序14272
蟠	$ddcmd(蟠,蟠[pji])	pjit#序14271
鲆	$ddcmd(鲆,鲆[pka])	pkau#序14270
蚲	$ddcmd(蚲,蚲[pki])	pkiu#序14269
帡	$ddcmd(帡,帡[pkj])	pkjc#序14268
枰	$ddcmd(枰,枰[pkm])	pkmu#序14267
娉	$ddcmd(娉,娉[pkn])	pkng#序14266
俜	$ddcmd(俜,俜[pkr])	pkrg#序14265
犏	$ddcmd(犏,犏[pmn])	pmnc#序14264
胼	$ddcmd(胼,胼[pmo])	pmoc#序14263
谝	$ddcmd(谝,谝[pmy])	pmyc#序14262
蹁	$ddcmd(蹁,蹁[pmz])	pmzc#序14261
薸	$ddcmd(薸,薸[pnc])	pncx#序14260
螵	$ddcmd(螵,螵[pni])	pnix#序14259
嘌	$ddcmd(嘌,嘌[pnk])	pnkx#序14258
嫖	$ddcmd(嫖,嫖[pnn])	pnnx#序14257
瞟	$ddcmd(瞟,瞟[pno])	pnox#序14256
鄱	$ddcmd(鄱,鄱[poe])	poep#序14255
叵	$ddcmd(叵,叵[pok])	pokk#序14254
笸	$ddcmd(笸,笸[pov])	povk#序14253
苤	$ddcmd(苤,苤[ppc])	ppca#序14252
氕	$ddcmd(氕,氕[ppq])	ppqp#序14251
匍	$ddcmd(匍,匍[pug])	pugd#序14250
璞	$ddcmd(璞,璞[puw])	puwn#序14249
旆	$ddcmd(旆,旆[pwf])	pwfj#序14248
锫	$ddcmd(锫,锫[pwj])	pwjk#序14247
衃	$ddcmd(衃,衃[pwx])	pwxa#序14246
掊	$ddcmd(掊,掊[pzf])	pzfk#序14245
棓	$ddcmd(棓,棓[bhmk])	pzmk#序14244
垺	$ddcmd(垺,垺[fut])	pztz#序14243
裒	$ddcmd(裒,裒[pzw])	pzwy#序14242
廑	$ddcmd(廑,廑[jbga])	qbga#序14241
嗪	$ddcmd(嗪,嗪[qbk])	qbkh#序14240
矜	$ddcmd(矜,矜[grsv])	qbsv#序14239
慬	$ddcmd(慬,慬[jbx])	qbxa#序14238
蛴	$ddcmd(蛴,蛴[qii])	qiia#序14237
颀	$ddcmd(颀,颀[qij])	qija#序14236
婍	$ddcmd(婍,婍[qin])	qink#序14235
