---config@码表分类=主码-1
---config@码表别名=系统词库
---config@允许编辑=是

一个	yqt go
陈冠希	cqn gun hei
吐瓦鲁	tou ra lou
沙坪坝	sa pir ba
𤓓味	lo mei
拖手仔	to squ jqi
卡骆驰	ka lok ci
猫声鸟	mau sir niu
夏商周	ha szr jqu
对不起	dxi bqt hei
噤声令	gqm sir lir
长蛇座	czr se jo
品趣志	bqn cxi ji
陈香梅	cqn hzr mui
赫哲族	hak jit juk
黄洋达	wor yzr dat
致冷剂	ji lar jqi
人行区	yqn hqr kxi
跟屁虫	gqn pei cur
假假哋	ga ga dei
试飞员	si fei yvn
沿条儿	yvn tiu yi
比一比	bei yqt bei
柏拉图	pak lai tou
发酒寒	fat jqu hon
单肩包	dan gin bau
习近平	jap gqn pir
稀冧冧	hei lqm lqm
三联管	sam lvn gun
麦香堡	mqk hzr bou
订书针	der sv jqm
文抄公	mqn cau gur
光卤石	xor lou sek
葛法翁	got fat yur
甘氨酸	gqm on svn
贫女诗	pqn nxi si
鸲岩鹨	kxi ram lqu
和事酒	wo si jqu
王励勤	wor lqi kqn
约拿书	yzk na sv
浑仪注	wqn yi jv
二极管	yi gik gun
居鲁士	gxi lou si
卡西尼	ka sqi nei
亚速海	a cuk hoi
花士令	fa si lir
贝聿铭	bui lxt mir
溴化钾	cqu fa gap
马服子	ma fuk ji
范斯坦	fan si tan
急婚族	gqp fqn juk
卸肩儿	se gin yi
撒酒疯	sat jqu fur
四眼狗	sei ran gqu
阿萨德	a sat dqk
可视化	ho si fa
建塘镇	gin tor jqn
冬运会	dur wqn wui
烂斗烂	lan dqu lan
蔡卓妍	coi czk yin
波札那	bo jat na
昆都仑	zqn dou lxn
说不上	svt bqt szr
尖沙咀	jim sa jxi
希拉莉	hei lai lei
榨酒池	ja jqu ci
孟思诚	mar si sir
急吼吼	gqp hau hau
托老所	tok lou so
薄扶林	bok fu lqm
氯化氢	luk fa hir
异装癖	yi jor pik
三屉桌	sam tqi czk
眼睁睁	ran jqr jqr
淋溶层	lqm yur cqr
哈丰角	ha fur gok
黐脷根	ci lei gqn
拉那烈	lai na lit
索非亚	sok fei a
冈下肌	gor ha gei
长统袜	czr tur mqt
墨尔本	mqk yi bun
摩斯拉	mo si lai
康科德	hor fo dqk
亚松森	a cur sqm
八倍体	bat pui tqi
戴名世	dai mir sqi
奥马哈	ou ma ha
王军霞	wor xqn ha
洛溪站	lok kqi jam
宰牲节	joi sqr jit
李汝珍	lei yv jqn
巴比伦	ba bei lxn
拉狄克	lai dik hqk
食尾糊	sik mei wu
韦斯卡	wqi si ka
䟴䟴脚	rqn rqn gzk
陆征祥	luk jir czr
候机室	hqu gei sqt
米尔斯	mqi yi si
信神者	sxn sqn je
田格本	tin gak bun
朱迪亚	jv dik a
德梅因	dqk mui yqn
蓝舌病	lam sit ber
译意风	yik yi fur
雷亚尔	lxi a yi
羊角豆	yzr gok dqu
囊中物	nor jur mqt
岌岌贡	kqp kqp gur
大尾笃	dai mei duk
张家界	jzr ga gai
无精症	mou jir jir
喀奴特	hak nou dqk
开都河	hoi dou ho
量天尺	lzr tin cek
玛俐欧	ma lei qu
杰士派	git si pai
蒙猪眼	mur jv ran
满地可	mun dei ho
市桥站	si kiu jam
张伯伦	jzr bak lxn
戥穿石	dqr cvn sek
紫坪铺	ji pir pou
发酒疯	fat jqu fur
紫河车	ji ho ce
盖浇饭	goi giu fan
畿内亚	gei noi a
穆萨维	muk sat wqi
洞庭湖	dur tir wu
威尔斯	wqi yi si
独木舟	duk muk jqu
开瓶费	hoi pir fqi
箩底橙	lo dqi car
黄腹鹨	wor fuk lqu
林心如	lqm sqm yv
经信委	gir sxn wqi
陈展鹏	cqn jin par
吉之岛	gqt ji dou
睇唔起	tqi m hei
卢泰愚	lou tai yv
孽海花	yip hoi fa
马斯内	ma si noi
荆楚网	gir co mor
拧歪面	nir me min
渣甸山	ja din san
核小体	hqt siu tqi
刘家辉	lqu ga fqi
听证会	tir jir wui
多宝鱼	do bou yv
黑鼆鼆	hak mqr mqr
网师园	mor si yvn
赖尿虾	lai niu ha
高句丽	gou gxi lqi
基围虾	gei wqi ha
隐写术	yqn se sxt
福摩萨	fuk mo sat
叶礼庭	yip lqi tir
小绒鸭	siu yur ap
萧万长	siu man czr
堰蜓座	yin tir jo
𪲛花	gqi fa
瑶之圃	yiu ji pou
肺气肿	fqi hei jur
扎赉特	jat loi dqk
白钨矿	bak wu zor
教研室	gau yin sqt
笛卡儿	dek ka yi
朱缨花	jv yir fa
胡紫微	wu ji mei
秦越人	cxn yvt yqn
高德纳	gou dqk nap
闵行区	mqn hqr kxi
香体剂	hzr tqi jqi
谢长廷	je czr tir
护手盘	wu squ pun
新西兰	sqn sqi lan
碎湿湿	sxi sqp sqp
贾伯斯	ga bak si
除垢剂	cxi gqu jqi
金雀花	gqm jzk fa
洁西卡	git sqi ka
立刀旁	lap dou por
性物恋	sir mqt lvn
黄丝蚁	wor si rqi
病包儿	ber bau yi
束线带	cuk sin dai
臭油膉	cqu yqu yik
无得弹	mou dqk dan
比目鱼	bei muk yv
流纹岩	lqu mqn ram
奥兰多	ou lan do
杨守仁	yzr squ yqn
提摩太	tqi mo tai
云呢拿	wqn nei na
遮护板	je wu ban
巴旦木	ba dan muk
格尔木	gak yi muk
擦边球	cat bin kqu
冯内果	fur noi xo
拉格比	lai gak bei
硅灰石	xqi fui sek
吹竽手	cxi yv squ
英仙座	yir sin jo
色胺酸	sik on svn
悭啲啦	han di la
伊甸园	yi din yvn
消基会	siu gei wui
刘师培	lqu si pui
考克斯	hau hqk si
立陶宛	lap tou yvn
王靖雯	wor jir mqn
国资委	xok ji wqi
郎世宁	lor sqi nir
李尔王	lei yi wor
起造员	hei jou yvn
曾俊华	jqr jxn wa
印字机	yqn ji gei
一根筋	yqt gqn gqn
到岸价	dou ron ga
单反机	dan fan gei
欧查果	qu ca xo
静安区	jir on kxi
三色堇	sam sik gqn
哥罗芳	go lo for
翻车鱼	fan ce yv
吊靴鬼	diu hz xqi
搅屎棍	gau si xqn
理神论	lei sqn lxn
冯窦伯	fur dqu bak
清宛县	cir yvn yvn
鱼𦢊	yv pok
脑瓢儿	nou piu yi
镇流器	jqn lqu hei
饮姜酒	yqm gzr jqu
留声机	lqu sir gei
张志新	jzr ji sqn
迪斯可	dik si ho
翠冠玉	cxi gun yuk
精归左	jer xqi jo
麦哲伦	mqk jit lxn
七里香	cqt lei hzr
辉绿岩	fqi luk ram
杨虎城	yzr fu sir
油淋淋	yqu lqm lqm
堪培拉	hqm pui lai
煅成末	dvn sir mut
软皮蛇	yvn pei se
猎户臂	lip wu bei
弦切角	yin cit gok
单味药	dan mei yzk
抹稀泥	mut hei nqi
栓皮栎	san pei lik
胡姬花	wu gei fa
陆探微	luk tam mei
魏文帝	rqi mqn dqi
雷蒙德	lxi mur dqk
合得来	hqp dqk loi
雅温得	ra wqn dqk
毛绒绒	mou yur yur
一条龙	yqt tiu lur
醛固酮	cvn gu tur
屈尾十	wqt mei sqp
梯也尔	tqi ya yi
丘逢甲	yqu fur gap
郑秀文	jer squ mqn
开信刀	hoi sxn dou
博伊西	bok yi sqi
花岗石	fa gor sek
尼米兹	nei mqi ji
闩埋门	san mai mun
黄百鸣	wor bak mir
油香饼	yqu hzr ber
唔怪之	m xai ji
普鲁士	pou lou si
诺矩罗	nok gxi lo
沉甸甸	cqm din din
擘网巾	mak mor gqn
察合台	cat hqp toi
陀罗尼	to lo nei
王实甫	wor sqt fu
托勒玫	tok lqk mui
史泰博	si tai bok
赤卫军	cek wqi xqn
拍纸簿	pak ji bou
白尾鹞	bak mei yiu
毛小囊	mou siu nor
波阿斯	bo a si
趑车转	ci ce jvn
刘剑峰	lqu gim fur
王羲之	wor hei ji
阿物儿	a mqt yi
谭咏麟	tam wir lxn
贺军翔	ho xqn czr
旁腱肌	por gin gei
这阵儿	je jqn yi
万智牌	man ji pai
盲摸摸	mar mo mo
较早时	gau jou si
发噏风	fat rqp fur
小汤山	siu tor san
界外球	gai roi kqu
勒勒车	lqk lqk ce
埃弗顿	ai fqt dxn
荷尔蒙	ho yi mur
徐霞客	cxi ha hak
布哈林	bou ha lqm
鲍罗廷	bau lo tir
令牌环	lir pai wan
穷酸相	kur svn szr
尖管面	jim gun min
𢱕骨	dqp xqt
脓痂疹	nur ga cqn
欧石鸻	qu sek hqr
半腱肌	bun gin gei
西万尼	sqi man nei
蓑羽鹤	so yv hok
𠺘口	lor hqu
罗姆酒	lo mou jqu
牛筋草	rqu gqn cou
唐穆宗	tor muk jur
售票处	squ piu cv
可用性	ho yur sir
放牛班	for rqu ban
山卡啦	san ka la
干打垒	gon da lxi
读死书	duk sei sv
周树人	jqu sv yqn
伢伢仔	ra ra jqi
波兹曼	bo ji man
东屯区	dur tvn kxi
翻头婆	fan tqu po
细嘴鸥	sqi jxi qu
大藏经	dai jor gir
靴掖子	hz yik ji
褐马鸡	hot ma gqi
地对空	dei dxi hur
间唔中	gan m jur
六分仪	luk fqn yi
梵帝冈	fan dqi gor
诺塞斯	nok sqk si
䂿䂿趯	tap tap tik
啦啦队	la la dxi
西班牙	sqi ban ra
陈慧娴	cqn wqi han
瞓厉颈	fqn lqi ger
老行专	lou hor jvn
特克斯	dqk hqk si
帝汶岛	dqi mqn dou
张僧繇	jzr jqr yqu
丝盘虫	si pun cur
多日赛	do yqt coi
洛矶山	lok gei san
虎不拉	fu bqt lai
大盘尾	dai pun mei
威尔士	wqi yi si
扯猫尾	ce mau mei
压路机	at lou gei
克虏伯	hqk lou bak
银阁寺	rqn gok ji
三手病	sam squ ber
卡宾枪	ka bqn czr
𪲛木	gqi muk
白顶鵖	bak der gip
苏维埃	sou wqi ai
八目鳗	bat muk man
朱镕基	jv yur gei
铁拐李	tit xai lei
刘义庆	lqu yi hir
空城计	hur sir gqi
陈文媛	cqn mqn wun
筑土墙	juk tou czr
七碳糖	cqt tan tor
喷喷香	pqn pqn hzr
耳刮子	yi xat ji
蒋介石	jzr gai sek
蝶恋花	dip lvn fa
纳尔逊	nap yi sxn
张易之	jzr yi ji
大明历	dai mir lik
形于色	yir yv sik
海伯利	hoi bak lei
氯已烯	luk yi hei
会江站	wui gor jam
塔尔寺	tap yi ji
都更案	dou gqr on
敲边鼓	hau bin gu
灰背鸥	fui bui qu
普鲁东	pou lou dur
榜葛剌	bor got lat
大庾岭	dai yv lir
贝加莱	bui ga loi
冇定准	mou dir jxn
撑竿跳	car gon tiu
班卓琴	ban jzk kqm
诺克少	nok hqk siu
嘈嘈闭	cou cou bqi
令导人	lir dou yqn
活生生	wut sar sar
大花面	dai fa min
甘纳许	gqm nap hxi
巴拉迪	ba lai dik
有阵时	yqu jqn si
长颈瓶	czr ger pir
八二丹	bat yi dan
可兰经	ho lan gir
颠儿面	din yi min
函式库	ham sik fu
堆高机	dxi gou gei
噶啷啷	ga lor lor
英代尔	yir doi yi
斯佩罗	si pui lo
出晒名	cxt sai mer
岘首山	yin squ san
刘伯温	lqu bak wqn
肉足鹱	yuk juk wok
暴雪鹱	bou svt wok
苏格兰	sou gak lan
丙三醇	bir sam sxn
美滋滋	mei ji ji
内贾德	noi ga dqk
武仙座	mou sin jo
李振藩	lei jqn fan
阿是穴	a si yvt
金富轼	gqm fu sik
徐少强	cxi siu kzr
穆加贝	muk ga bui
肇俊哲	siu jxn jit
叉尾鸥	ca mei qu
拿拿林	na na lqm
奥威尔	ou wqi yi
阿布贾	a bou ga
太鲁阁	tai lou gok
罗一秀	lo yqt squ
扶轮社	fu lxn se
𠮶处	go sv
沧源县	cor yvn yvn
不来梅	bqt loi mui
𢯎痕	rau hqn
横须贺	war sxi ho
马德望	ma dqk mor
灰山鹑	fui san cxn
蒋经国	jzr gir xok
特易购	dqk yi gqu
苏占区	sou jim kxi
玛利亚	ma lei a
崇文区	sur mqn kxi
田长霖	tin czr lqm
真番郡	jqn pun xqn
胖嘟嘟	bun dou dou
西工区	sqi gur kxi
弗兰兹	fqt lan ji
马三立	ma sam lap
差得远	ca dqk yvn
女中音	nxi jur yqm
三脚猫	sam gzk mau
三元醇	sam yvn sxn
小熊座	siu hur jo
厚底鞋	hqu dqi hai
哈尔登	ha yi dqr
嗵嗵鼓	tur tur gu
皮脂腺	pei ji sin
混凝土	wqn yir tou
大五码	dai r ma
东直门	dur jik mun
萨满教	sat mun gau
窝脖儿	wo but yi
义和拳	yi wo kvn
民进党	mqn jxn dor
岳普湖	rok pou wu
划不来	wa bqt loi
湿漉漉	sqp luk luk
湖水蓝	wu sxi lam
透啖气	tqu dam hei
无厘头	mou lei tqu
除臭剂	cxi cqu jqi
狼尾草	lor mei cou
牛草肚	rqu cou tou
ＯＫ绷	ou kei bqr
代利斯	doi lei si
林荫路	lqm yqm lou
渣都冇	ja dou mou
金正男	gqm jir nam
戴秉国	dai bir xok
拉头缆	lai tqu lam
费尔马	fqi yi ma
借入方	je yqp for
验钞机	yim cau gei
李季兰	lei xqi lan
环戊烯	wan mou hei
李成江	lei sir gor
摩罗街	mo lo gai
李亚鹏	lei a par
吴永刚	r wir gor
本省人	bun sar yqn
寄件者	gei gin je
白斑病	bak ban ber
奇瓦瓦	kei ra ra
太石村	tai sek cvn
陈水扁	cqn sxi bin
约珥书	yzk yi sv
家乐福	ga lok fuk
吃到饱	hek dou bau
荣河县	wir ho yvn
唞啖气	tqu dam hei
徐匡迪	cxi hor dik
塞缪尔	coi mqu yi
争球线	jqr kqu sin
胡鬑须	wu lim sou
威妥玛	wqi to ma
收件人	squ gin yqn
吴嘉经	r ga gir
钉书针	der sv jqm
冠麻鸭	gun ma ap
死唔去	sei m hxi
拔兰地	bqt lan dei
无花果	mou fa xo
景德镇	gir dqk jqn
必胜客	bit sir hak
大分县	dai fqn yvn
扇面琴	sin min kqm
张家辉	jzr ga fqi
巴格兰	ba gak lan
研修员	yin squ yvn
美沙酮	mei sa tur
萨米人	sat mqi yqn
证交所	jir gau so
厄洛斯	ak lok si
朱广沪	jv xor wu
直瞪瞪	jik cir cir
大笨狗	dai bqn gqu
烘手器	hor squ hei
冇搭霎	mou dap sap
以弗所	yi fqt so
卡地亚	ka dei a
扎伊尔	jat yi yi
全日制	cvn yqt jqi
艾奇逊	rai kei sxn
死猫弹	sei mau dan
希西家	hei sqi ga
虚宫格	hxi gur gak
猜呈寻	cai cir cqm
巴别塔	ba bit tap
绿泥石	luk nqi sek
吃大亏	hek dai zqi
流花路	lqu fa lou
牧马人	muk ma yqn
大闸蟹	dai jap hai
撒切尔	sat cit yi
光暗掣	xor rqm jqi
伊马姆	yi ma mou
三论宗	sam lxn jur
黑魖魖	hqk hxi hxi
务川县	mou cvn yvn
朱孝天	jv hau tin
说不出	svt bqt cxt
主战派	jv jin pai
肥豚豚	fei tqn tqn
马屎洲	ma si jqu
氢卤酸	hir lou svn
灰斑鸻	fui ban hqr
德律风	dqk lxt fur
约书亚	yzk sv a
杨浦区	yzr pou kxi
蜥臀目	sik tvn muk
内含子	noi hqm ji
老来娇	lou loi giu
海拉尔	hoi lai yi
大耳牛	dai yi rqu
阿梵达	a fan dat
马家军	ma ga xqn
平到笑	per dou siu
可卡因	ho ka yqn
锢囚锋	gu cqu fur
矮呆病	qi roi ber
富山县	fu san yvn
砵仔糕	but jqi gou
破天荒	po tin for
交款单	gau fun dan
塔里木	tap lei muk
冻冰冰	dur bir bir
信德省	sxn dqk sar
利伯曼	lei bak man
武夷山	mou yi san
白田邨	bak tin cvn
监粗嚟	gam cou lqi
南屯区	nam tvn kxi
里朗威	lei lor wqi
胀卜卜	jzr buk buk
斯哥特	si go dqk
桑塔纳	sor tap nap
中新网	jur sqn mor
旁遮普	por je pou
周华健	jqu wa gin
裱花袋	biu fa doi
鹊色鹂	jzk sik lei
波隆那	bo lur na
弗洛姆	fqt lok mou
屌那妈	diu na ma
百叶窗	bak yip czr
慢吞吞	man tqn tqn
一粒神	yqt nqp sqn
舜帝陵	sxn dqi lir
山案座	san on jo
待会儿	doi wui yi
导盲犬	dou mar hvn
昂船洲	ror svn jqu
护养院	wu yzr yvn
滕王阁	tqr wor gok
通布图	tur bou tou
芸苔属	wqn toi suk
俾格米	bei gak mqi
大利拉	dai lei lai
四块半	sei fai bun
图卢兹	tou lou ji
土卫六	tou wqi luk
赫哲语	hak jit yv
黄家驹	wor ga kxi
窄搣搣	jak mit mit
喀麦隆	hak mqk lur
玉素甫	yuk sou fu
高保真	gou bou jqn
脑内啡	nou nap fe
欧吉桑	qu gqt sor
城域网	sir wik mor
话咁易	wa gqm yi
鸡尾酒	gqi mei jqu
张治中	jzr ji jur
奥斯卡	ou si ka
检毒箱	gim duk szr
腐生兰	fu sqr lan
对胸衫	dxi hur sam
红樱枪	hur yir czr
中杓鹬	jur szk wqt
特卫强	dqk wqi kzr
剥光猪	mok xor jv
对着干	dxi jzk gon
尹天照	wqn tin jiu
歌罗西	go lo sqi
尼赫鲁	nei hak lou
胡志强	wu ji kzr
维他命	wqi ta mir
麦浚龙	mqk jxn lur
瓜达尔	xa dat yi
四合院	sei hqp yvn
跌停板	dit tir ban
以亿计	yi yik gqi
解酸药	gai svn yzk
周渝民	jqu yv mqn
克里木	hqk lei muk
发抆憎	fat mqr jqr
吴建豪	r gin hou
坎大哈	hqm dai ha
哥白尼	go bak nei
图林根	tou lqm gqn
李雪健	lei svt gin
伏都教	fuk dou gau
印表机	yqn biu gei
黄光裕	wor xor yv
潮间带	ciu gan dai
卢旺达	lou wor dat
三点三	sam dim sam
冯骥才	fur kei coi
护颈套	wu ger tou
不列颠	bqt lit din
纳瓦萨	nap ra sat
蒙茶茶	mur ca ca
小九九	siu gqu gqu
木乃伊	muk nai yi
菜墩子	coi dxn ji
啡啡声	fe fe ser
双陆棋	szr luk kei
卡利科	ka lei fo
亨格洛	hqr gak lok
㓥死牛	tor sei rqu
准格尔	jxn gak yi
廖碧儿	liu bik yi
亚弗烈	a fqt lit
琅威理	lor wqi lei
曚曚光	mur mur xor
水耕法	sxi gar fat
沃达丰	yuk dat fur
卖鱼佬	mai yv lou
胶氨芹	gau on kqn
间花腩	gan fa nam
龈腭音	rqn rok yqm
梅纳德	mui nap dqk
冇天装	mou tin jor
庖牺氏	pau hei si
王治郅	wor ji jqt
韩世昌	hon sqi czr
瓦德西	ra dqk sqi
白晒晒	bak sai sai
峨嵋拳	ro mei kvn
常衡制	szr hqr jqi
宝莱坞	bou loi wu
攞嚟衰	lo lei sxi
苏贞昌	sou jir czr
村委会	cvn wqi wui
鄂伦春	rok lxn cxn
切尔西	cit yi sqi
阮晋勇	yvn jxn yur
美职篮	mei jik lam
百花奖	bak fa jzr
娘儿们	nzr yi mun
树化玉	sv fa yuk
印地语	yqn dei yv
手拉车	squ lai ce
担担面	dam dam min
美乃滋	mei nai ji
英吉沙	yir gqt sa
菟丝子	tou si ji
台南府	toi nam fu
辛烷值	sqn yvn jik
独联体	duk lvn tqi
非利士	fei lei si
限时信	han si sxn
远光灯	yvn xor dqr
高圆圆	gou yvn yvn
侦毒管	jir duk gun
切𩠌	cit sur
借啲意	je di yi
凌蒙初	lir mur co
鹰嘴豆	yir jxi dqu
劳什子	lou jap ji
台儿庄	toi yi jor
俄塔社	ro tap se
黑压压	hqk at at
禾木科	wo muk fo
晕酡酡	wqn to to
金不换	gqm bqt wun
茹志鹃	yv ji gvn
帽峰山	mou fur san
食猫面	sik mau min
氯化钙	luk fa koi
牛柏叶	rqu pak yip
育幼袋	yuk yqu doi
鲍狄埃	bau dik oi
田家庵	tin ga qm
西格马	sqi gak ma
成实宗	sir sqt jur
捕鼠器	bou sv hei
矮腯腯	qi dqt dqt
震震贡	jqn jqn gur
红眼症	hur ran jir
四圣谛	sei sir dqi
装假狗	jor ga gqu
多蒙特	do mur dqk
白皮松	bak pei cur
邻苯醌	lxn bun zqn
箭毒蛙	jin duk wa
洗洁剂	sqi git jqi
答录机	dap luk gei
甘托克	gqm tok hqk
皮影戏	pei yir hei
天城文	tin sir mqn
来苏糖	loi sou tor
有神论	yqu sqn lxn
炮儿局	pau yi guk
俱乐部	kxi lok bou
大仲马	dai jur ma
武当山	mou dor san
力尽神危	lik jxn sqn rqi
峨山彝族自治县	ro san yi juk ji ji yvn
细皮嫩肉	sqi pei nvn yuk
小巫见大巫	siu mou gin dai mou
工欲善其事必先利其器	gur yuk sin kei si bit sin lei kei hei
说曹操曹操就到	svt cou cou cou cou jqu dou
惩一儆百	cir yqt gir bak
黔南布依族苗族自治州	kim nam bou yi juk miu juk ji ji jqu
红血球生成素	hur hvt kqu sqr sir sou
红额穗鹛	hur rak sxi mei
一琴一鹤	yqt kqm yqt hok
极座标系	gik jo biu hqi
守口如瓶	squ hqu yv pir
齿列矫正器	ci lit giu jir hei
德薄能鲜	dqk bok nqr sin
唔臭米气	m cqu mqi hei
奥尔巴尼	ou yi ba nei
承前启后	sir cin kqi hqu
喐不得其正	yuk bqt dqk kei jir
塞拉耶佛	sqk lai ye fqt
有板有眼	yqu ban yqu ran
牵马到河易强马饮水难	hin ma dou ho yi kzr ma yqm sxi nan
棕尾虹雉	jur mei hur ji
指手画脚	ji squ wak gzk
驾鹤西去	ga hok sqi hxi
朦在鼓里	mur joi gu lxi
据为己有	gxi wqi gei yqu
拉克替醇	lai hqk tqi sxn
千真万确	cin jqn man kok
纯文字页	sxn mqn ji yip
供不应求	gur bqt yir kqu
栗头蜂虎	lxt tqu fur fu
格但斯克	gak dan si hqk
羌无故实	gzr mou gu sqt
多财善贾	do coi sin gu
搜肠刮肚	squ czr xat tou
坐而论道	jo yi lxn dou
虎视眈眈	fu si dam dam
有嘴没舌	yqu jxi mut sit
打打杀杀	da da sat sat
木已成舟	muk yi sir jqu
无功受禄	mou gur squ luk
钻牛角尖	jvn rqu gok jim
报本反始	bou bun fan ci
松赞干布陵	cur jan gon bou lir
顾此失彼	gu ci sqt bei
塞古盟憎	sqk gu mqr jqr
毛腿沙鸡	mou txi sa gqi
罗蒙诺索夫	lo mur nok sok fu
一九四九年	yqt gqu sei gqu nin
偏正式合成词	pin jir sik hqp sir ci
塞尔维亚民主党	coi yi wqi a mqn jv dor
短中抽长	dvn jur cqu czr
浅希近求	cin hei gqn kqu
见风使帆	gin fur sqi fan
巴伐利亚	ba fqt lei a
实报实销	sqt bou sqt siu
喜新厌旧	hei sqn yim gqu
蒙地卡罗	mur dei ka lo
以华制华	yi wa jqi wa
行东行西	har dur har sqi
人迹罕至	yqn jik hon ji
朴次茅斯	pok ci mau si
浓墨重彩	nur mqk cur coi
索马里亚	sok ma lei a
凑够一个好字	cqu gqu yqt go hou ji
加拉巴哥斯	ga lai ba go si
奇形怪状	kei yir xai jor
以暴易暴	yi bou yik bou
改恶向善	goi ok hzr sin
敢怒不敢言	gqm nou bqt gqm yin
专美于前	jvn mei yv cin
高不可攀	gou bqt ho pan
红翅凤头鹃	hur ci fur tqu gvn
应仁之乱	yir yqn ji lvn
弃暗投明	hei qm tqu mir
果味胶糖	xo mei gau tor
金迷纸醉	gqm mqi ji jxi
直来直往	jik loi jik wor
山高水低	san gou sxi dqi
案兵束甲	on bir cuk gap
布拉柴维尔	bou lai cai wqi yi
惊天动地	gir tin dur dei
硬式磁碟机	rar sik ci dip gei
笑到见牙唔见眼	siu dou gin ra m gin ran
十拿九稳	sqp na gqu wqn
微处理器	mei cv lei hei
一房一厅	yqt for yqt ter
伊斯坦堡	yi si tan bou
反唇相讥	fan sxn szr gei
砌词捏控	cqi ci nip hur
大癫大肺	dai din dai fqi
绿尾虹雉	luk mei hur ji
积不相能	jik bqt szr nqr
似是而非	ci si yi fei
岫岩满族自治县	jqu ram mun juk ji ji yvn
马斯特里赫特	ma si dqk lei hak dqk
普利托里亚	pou lei tok lei a
画地为牢	wak dei wqi lou
多不胜数	do bqt sir sou
乒铃𠾴唥	pir lir bar lar
科迪勒拉山系	fo dik lqk lai san hqi
倒背手儿	dou bui squ yi
唔清唔楚	m cir m co
横三竖四	war sam sv sei
听君一席话胜读十年书	tir xqn yqt jik wa sir duk sqp nin sv
色令智昏	sik lir ji fqn
斑背燕尾	ban bui yin mei
不经一事不长一智	bqt gir yqt si bqt jzr yqt ji
坐一望二	jo yqt mor yi
科右中旗	fo yqu jur kei
肉豆蔻料	yuk dqu kqu liu
苍眉蝗莺	cor mei wor qr
无动于衷	mou dur yv cur
要言不烦	yiu yin bqt fan
阿尔及尔	a yi kqp yi
澡垢索疵	cou gqu sok ci
无路可退	mou lou ho txi
歪零歪秤	me lir me cir
鹊巢鸠占	czk cau kqu jim
斯宾诺莎	si bqn nok sa
创巨痛深	cor gxi tur sqm
美利奴羊	mei lei nou yzr
男尊女卑	nam jvn nxi bei
掇臀捧屁	jvt tvn pur pei
棕顶树莺	jur der sv qr
酒逢知己千杯少	jqu fur ji gei cin bui siu
蚁多搂死象	rqi do lqu sei jzr
窿窿罅罅	lur lur la la
核反应堆	hqt fan yir dxi
合不拢嘴	hqp bqt lur jxi
白腹军舰鸟	bak fuk xqn lam niu
细嚼慢咽	sqi jzk man yin
做生不如做熟	jou sqr bqt yv jou suk
万胜围站	man sir wqi jam
数黑论黄	sou hqk lxn wor
想入非非	szr yqp fei fei
搞三搞四	gau sam gau sei
边有咁大只蛤乸随街跳	bin yqu gqm dai jek gqp na cxi gai tiu
腕管综合症	wun gun jur hqp jir
名不符实	mir bqt fu sqt
室迩人遐	sqt yi yqn ha
力透纸背	lik tqu ji bui
时写时辍	si se si jvt
冰魂雪魄	bir wqn svt pak
油泼扯面	yqu put ce min
弗莱威厄斯	fqt loi wqi ak si
蓝八色鸫	lam bat sik dur
褐顶雀鹛	hot der jzk mei
过而能改善莫大焉	xo yi nqr goi sin mok dai yin
小洞不堵大洞难补	siu dur bqt dou dai dur nan bou
钱是万恶之源	cin si man ok ji yvn
列王记上	lit wor gei szr
南辕北辙	nam yvn bqk cit
重机关枪	cur gei xan czr
八拜之交	bat bai ji gau
孤芳自赏	gu for ji szr
判若云泥	pun yzk wqn nqi
酒香不怕巷子深	jqu hzr bqt pa hor ji sqm
山不转路转	san bqt jvn lou jvn
自把自为	ji ba ji wqi
人所共知	yqn so gur ji
无所不包	mou so bqt bau
模里西斯	mou lei sqi si
饱以老拳	bau yi lou kvn
贫不足耻	pqn bqt juk ci
秀色可餐	squ sik ho can
艾德蒙顿	rai dqk mur dxn
美尼尔病	mei nei yi ber
慈眉善目	ci mei sin muk
尤文图斯	yqu mqn tou si
特内里费	dqk noi lei fqi
务川仡佬族苗族自治县	mou cvn go lou juk miu juk ji ji yvn
九曲十三弯	gqu kuk sqp sam wan
授人以鱼不如授人以渔	squ yqn yi yv bqt yv squ yqn yi yv
釜底游鱼	fu dqi yqu yv
爱沙尼亚	oi sa nei a
斯洛文尼亚语	si lok mqn nei a yv
照猫画虎	jiu mau wak fu
三长两短	sam czr lzr dvn
粒声唔出	lqp ser m cxt
伊洛瓦底江	yi lok ra dqi gor
村上春树	cvn szr cxn sv
苏格拉底	sou gak lai dqi
弓长岭区	gur czr lir kxi
苯并噻吩	bun bir sqk fqn
将错就错	jzr co jqu co
厚养薄葬	hqu yzr bok jor
看人下菜碟儿	hon yqn ha coi dip yi
天作之合	tin jok ji hqp
康涅狄格州	hor nip dik gak jqu
卖儿鬻女	mai yi yuk nxi
三亲六故	sam cqn luk gu
暴跳如雷	bou tiu yv lxi
额菲尔士峰	rak fei yi si fur
污哩马查	wu li ma ca
白腹隼雕	bak fuk jxn diu
一件还一件	yqt gin wan yqt gin
道高一尺魔高一丈	dou gou yqt cek mo gou yqt jzr
铁齿铜牙	tit ci tur ra
临急临忙	lqm gqp lqm mor
精疲力尽	jir pei lik jxn
寡不敌众	xa bqt dik jur
一清如水	yqt cir yv sxi
大不列颠岛	dai bqt lit din dou
微乎其微	mei fu kei mei
