一個	yrt go
閩語	mrn yv
閩粵	mrn yvd
岷縣	mrn yvn
文縣	mrn yvn
民怨鼎沸	mrn yvn dij fri
民怨沸騰	mrn yvn fri trj
文苑英華	mrn yvn yij wa
敏鋭	mrn y;i
文約	mrn y;k
問責性	mrn zak sij
文責自負	mrn zak zi fu
問斬	mrn zam
文謅謅	mrn zru zru
抿子	mrn zi
民資	mrn zi
蚊螆	mrn zi
文字處理	mrn zi cv lei
文字檔	mrn zi doj
文字改革	mrn zi goi gak
閔子騫	mrn zi hin
文字學	mrn zi hok
文字學家	mrn zi hok ga
文治武功	mrn zi mou guj
文字獄	mrn zi yuk
文徵明	mrn zij mij
民政事務局	mrn zij si mou guk
民政廳	mrn zij tej
文種	mrn zuj
文竹	mrn zuk
民族大遷徙	mrn zuk dai cin sai
民族大學	mrn zuk dai hok
民俗學	mrn zuk hok
民族學	mrn zuk hok
民族舞蹈	mrn zuk mou dou
民族平等	mrn zuk pij drj
民族社會主義	mrn zuk se wui zv yi
民族雜居地區	mrn zuk zap g;i dei k;i
民族志	mrn zuk zi
民族自決	mrn zuk zi kvd
民族主義情緒	mrn zuk zv yi cij s;i
民族ＬＯＯＫ	mrn zukＬＯＯＫ
問住	mrn zv
民主牆	mrn zv c;j
民主黨人	mrn zv doj yrn
民主建港協進聯盟	mrn zv gin goj hip z;n lvn mrj
民主生活	mrn zv srj wud
民主主義者	mrn zv zv yi ze
民主進步黨	mrn zv z;n bou doj
問罪之師	mrn z;i zi si
紋章	mrn z;j
文雀	mrn z;k
民進黨	mrn z;n doj
密閉艙	mrt bri coj
密閉貨艙	mrt bri fo coj
密閉門	mrt bri mun
密閉式循環再呼吸水肺系統	mrt bri sik c;n wan zoi fu krp s;i fri hri tuj
密不透風	mrt brt tru fuj
密布	mrt bou
物似主人形	mrt ci zv yrn yij
密切相連	mrt cit s;j lin
密切注視	mrt cit zv si
密切注意	mrt cit zv yi
物超所值	mrt ciu so zik
乜春	mrt c;n
襪帶	mrt dai
密底算盤	mrt dri svn pun
密特朗	mrt drk loj
密啲手	mrt di sru
密度波	mrt dou bo
乜都得	mrt dou drk
乜都假	mrt dou ga
密度計	mrt dou gri
乜東東	mrt duj duj
乜花款	mrt fa fun
襪褲	mrt fu
密縫	mrt fuj
密封艙	mrt fuj coj
蜜蜂竇	mrt fuj dru
蜜蜂房	mrt fuj foj
密封輻射源	mrt fuj fuk se yvn
密封膠	mrt fuj gau
密教	mrt gau
密件	mrt gin
物各有主	mrt gok yru zv
物鏡	mrt gej
蜜罐	mrt gun
蜜瓜	mrt xa
乜鬼	mrt xri
密克羅尼西亞	mrt hrk lo nei sri a
密克羅尼西亞聯邦	mrt hrk lo nei sri a lvn boj
密合	mrt hrp
物候學	mrt hru hok
勿歇	mrt hid
物輕情義重	mrt hij cij yi zuj
密歇根大學	mrt hit grn dai hok
密歇根湖	mrt hit grn wu
密歇根州	mrt hit grn zru
勿求人	mrt kru yrn
襪箍	mrt ku
蜜蠟	mrt lap
物流管理	mrt lru gun lei
密鑼緊鼓	mrt lo grn gu
蜜露	mrt lou
物理層	mrt lei crj
物理化學	mrt lei fa hok
物理結構	mrt lei git kru
物理學家	mrt lei hok ga
物理療法	mrt lei liu fad
物理量	mrt lei l;j
物理性質	mrt lei sij zrd
物理治療	mrt lei zi liu
密籠	mrt luj
密率	mrt l;d
密碼保護	mrt ma bou wu
密碼電報	mrt ma din bou
密碼學	mrt ma hok
密麻麻	mrt ma ma
密碼鎖	mrt ma so
密碼子	mrt ma zi
密文	mrt mrn
密密層層	mrt mrt crj crj
乜乜物物	mrt mrt mrt mrd
密密實實	mrt mrt srt srd
密密扎扎	mrt mrt zat zad
密密斟	mrt mrt zrm
勿忘國恥	mrt moj xok ci
蜜囊	mrt noj
密排	mrt pai
密山	mrt san
峚山	mrt san
密山市	mrt san si
密西根	mrt sri grn
密西根州	mrt sri grn zru
密西西比河	mrt sri sri bei ho
密西西比州	mrt sri sri bei zru
密實姑娘假正經	mrt srt gu n;j ga zij gij
乜事	mrt si
密斯	mrt si
密絲	mrt si
密司脫	mrt si tvd
密斯脫	mrt si tvd
密食當三番	mrt sik doj sam fan
密蘇里	mrt sou lei
密蘇里州	mrt sou lei zru
密送	mrt suj
乜誰	mrt s;i
密商	mrt s;j
物態	mrt tai
襪頭	mrt tru
乜頭乜路	mrt tru mrt lou
襪套	mrt tou
密雲縣	mrt wrn yvn
密而不宣	mrt yi brt svn
物以罕為貴	mrt yi hon wri xri
物以類聚人以群分	mrt yi l;i z;i yrn yi qrn frn
密爾沃基	mrt yi yuk gei
密簷塔	mrt yim tap
物業稅	mrt yip s;i
乜嘢	mrt ye
乜嘢話	mrt ye wa
物欲	mrt yuk
物慾世界	mrt yuk sri gai
密縣	mrt yvn
蜜月假期	mrt yvt ga kei
密約	mrt y;k
乜滯	mrt zri
密斟	mrt zrm
物質享受	mrt zrt h;j sru
物質文明和精神文明	mrt zrt mrn mij wo zij srn mrn mij
密質質	mrt zrt zrd
物質主義	mrt zrt zv yi
密緻	mrt zi
物資供應	mrt zi guj yij
密織	mrt zik
密接	mrt zip
密詔	mrt ziu
物種起源	mrt zuj hei yvn
物主代詞	mrt zv doi ci
物主限定詞	mrt zv han dij ci
密帳	mrt z;j
茂親	mru crn
謀刺	mru ci
踎廁	mru ci
茂才	mru coi
謀取面試	mru c;i min si
踎低	mru dri
踎墩	mru drn
踎躉	mru drn
某啲	mru di
牟定	mru dij
牟定縣	mru dij yvn
踎街	mru gai
踎監	mru gam
謀計	mru gri
謬見	mru gin
茂港	mru goj
茂港區	mru goj k;i
繆巧	mru hau
茂林	mru lrm
茂林鄉	mru lrm h;j
瞀里	mru lei
茂利	mru lei
謀慮	mru l;i
茂物	mru mrd
茂汶縣	mru mrn yvn
某某人	mru mru yrn
茂名市	mru mij si
謬耄	mru mou
茂南	mru nam
茂南區	mru nam k;i
謀殺案	mru sat on
謀殺罪	mru sat z;i
謀臣	mru srn
謀臣猛將	mru srn maj z;j
謀臣武將	mru srn mou z;j
謀臣如雨	mru srn yv yv
謀事在人成事在天	mru si zoi yrn sij si zoi tin
謀食	mru sik
踎塔	mru tap
謀人寺	mru yrn zi
貿易伙伴	mru yik fo bun
貿易夥伴	mru yik fo bun
貿易貨棧	mru yik fo zan
貿易公司	mru yik guj si
貿易國	mru yik xok
貿易談判	mru yik tam pun
貿易戰	mru yik zin
貿易組織	mru yik zou zik
茂縣	mru yvn
謀智	mru zi
謬種	mru zuj
謬種流傳	mru zuj lru cvn
謬獎	mru z;j
咪媽爛臭	mi ma lan cru
咪咪摸摸	mi mi mo mo
名不符實	mij brt fu srd
命不久已	mij brt gru yi
名不正言不順	mij brt zij yin brt s;n
名錶	mij biu
明報	mij bou
冥鈔	mij cau
名刺	mij ci
溟池	mij ci
名馳遐邇	mij ci ha yi
名稱標籤	mij cij biu cim
名稱權	mij cij kvn
名籤	mij cim
明朝體	mij ciu tri
明初	mij co
名從主人	mij cuj zv yrn
明槍暗箭	mij c;j rm zin
明槍好躲暗箭難防	mij c;j hou do rm zin nan foj
明槍易躲暗箭難防	mij c;j yi do rm zin nan foj
明窗淨几	mij c;j zij gei
命大	mij dai
冥誕	mij dan
明達事理	mij dat si lei
明德鎮	mij drk zrn
命定	mij dij
明訂	mij dij
冥道	mij dou
溟島	mij dou
明刀明槍	mij dou mij c;j
明斷	mij dvn
明火打劫	mij fo da gip
明火執仗	mij fo zrp z;j
命赴黃泉	mij fu woj cvn
冥福	mij fuk
明解	mij gai
明鑒	mij gam
名間	mij gan
名間鄉	mij gan h;j
明皎	mij gau
鳴金收軍	mij grm sru xrn
明崗暗哨	mij goj rm sau
鳴角鴞	mij gok hiu
名角兒	mij gok yi
明鏡高懸	mij gej gou yvn
明古魯	mij gu lou
明古魯市	mij gu lou si
名古屋市	mij gu uk si
命歸黃泉	mij xri woj cvn
明光度	mij xoj dou
明光藍	mij xoj lam
明光市	mij xoj si
名韁利鎖	mij g;j lei so
明蝦	mij ha
名銜	mij ham
明孝陵	mij hau lij
冥合	mij hrp
溟海	mij hoi
名學	mij hok
明熹宗	mij hei zuj
明瓦	mij ja
命危	mij jri
明溪	mij kri
明溪縣	mij kri yvn
鳴禽	mij krm
鳴鳩	mij kru
名伶	mij lij
命令句	mij lij g;i
命令行	mij lij hoj
明了	mij liu
明爐	mij lou
命理學	mij lei hok
名錄服務	mij luk fuk mou
名量詞	mij l;j ci
明碼實價	mij ma srt ga
名聞	mij mrn
明眸皓齒	mij mru hou ci
溟溟	mij mij
命名法	mij mij fad
命名系統	mij mij hri tuj
命名日	mij mij yrd
命名作業	mij mij zok yip
溟漭	mij moj
明武宗	mij mou zuj
溟蒙	mij muj
鳴鳥	mij niu
明尼阿波利斯	mij nei a bo lei si
明尼蘇達州	mij nei sou dat zru
明愛醫院	mij oi yi yvn
命盤	mij pun
明山	mij san
明山區	mij san k;i
名山縣	mij san yvn
銘心鏤骨	mij srm lru xrd
明十三陵	mij srp sam lij
明實錄	mij srt luk
冥壽	mij sru
明手	mij sru
明史	mij si
冥思苦索	mij si fu sok
明斯克	mij si hrk
名勝古跡	mij sij gu zik
名成利就	mij sij lei zru
明成祖	mij sij zou
名數	mij sou
銘瑄	mij svn
明宣宗	mij svn zuj
明水	mij s;i
明邃	mij s;i
明水縣	mij s;i yvn
瞑想	mij s;j
明太祖	mij tai zou
明體	mij tri
命題邏輯	mij tri lo crp
明天見	mij tin gin
明天啟	mij tin kri
名帖	mij tip
命途	mij tou
命途多舛	mij tou do cvn
命途坎坷	mij tou hrm ho
名畫家	mij wa ga
明屈	mij wrd
名諱	mij wri
明慧	mij wri
命運註定	mij wrn zv dij
明和	mij wo
名媛望族	mij wun moj zuk
明仁	mij yrn
明人不說暗話	mij yrn brt svt rm wa
明人不做暗事	mij yrn brt zou rm si
名人錄	mij yrn luk
明仁宗	mij yrn zuj
名兒	mij yi
名義價值	mij yi ga zik
明兒個	mij yi go
名義上	mij yi s;j
名義賬戶	mij yi z;j wu
明言	mij yin
銘言	mij yin
名譽博士	mij yv bok si
名譽博士學位	mij yv bok si hok wri
名譽學位	mij yv hok wri
名源	mij yvn
瞑眩	mij yvn
鳴冤叫屈	mij yvn giu wrd
明月清風	mij yvt cij fuj
明子	mij zi
明知山有虎偏向虎山行	mij zi san yru fu pin h;j fu san haj
明治維新	mij zi wri srn
明智之舉	mij zi zi g;i
明凈	mij zij
眳睛	mij zij
命在旦夕	mij zoi dan zik
名狀	mij zoj
銘謝	mij ze
鳴鐘	mij zuj
名重識暗	mij zuj sik rm
明珠暗投	mij zv rm tru
明珠台	mij zv toi
明杖	mij z;j
名爵	mij z;k
覓取	mik c;i
冪等	mik drj
覓句	mik g;i
冪級數	mik krp sou
汨羅	mik lo
汨羅市	mik lo si
覓食行為	mik sik hrj wri
汨水	mik s;i
綿白糖	min bak toj
麵板	min ban
麪包	min bau
麵包店	min bau dim
麵包房	min bau foj
麵包果	min bau xo
麵包糠	min bau hoj
麵包片	min bau pin
麵包舖	min bau pou
麵包皮	min bau pei
麵包心	min bau srm
麵包師傅	min bau si fu
麵包屑	min bau sid
麵包樹	min bau sv
麵包渣	min bau za
免不得	min brt drk
面不改容	min brt goi yuj
面壁思過	min bik si xo
面部表情	min bou biu cij
麵餅	min bej
綿綢	min cru
面青	min cij
面青青	min cij cij
面斥	min cik
免簽	min cim
棉簽	min cim
棉籤	min cim
面朝黃土背朝天	min ciu woj tou bui ciu tin
麵青青	min cej cej
面青口唇白	min cej hru s;n bak
免黜	min c;d
面大	min dai
面帶	min dai
面帶病容	min dai bej yuj
面帶愁容	min dai sru yuj
棉豆	min dru
麵的	min dik
麵點	min dim
緬甸聯邦	min din lvn boj
緬甸蟒蛇	min din moj se
緬甸語	min din yv
麵檔	min doj
棉花拳擊	min fa kvn gik
棉花棒	min fa paj
免費搭車	min fri dap ce
免費軟件	min fri yvn gin
麪粉	min frn
麵粉公仔	min frn guj zri
面肥	min fei
麵肥	min fei
棉鳧	min fu
棉緊身	min grn srn
面巾紙	min grn zi
麵疙瘩	min grt dap
面鏡	min gej
冕冠	min gun
面瓜	min xa
面洽	min hrp
面口	min hru
面罄	min hij
免開尊口	min hoi zvn hru
面紅	min huj
面紅紅	min huj huj
面紅面綠	min huj min luk
面紅麵綠	min huj min luk
免去職務	min h;i zik mou
面嚮	min h;j
面嚮對象的技術	min h;j d;i z;j dik gei s;d
面嚮對象語言	min h;j d;i z;j yv yin
面嚮連接	min h;j lin zip
面晤	min j
面顏	min jan
眄睨	min jri
棉球	min kru
棉蘭	min lan
棉蘭老島	min lan lou dou
面臨困難	min lrm qrn nan
冕旒	min lru
棉褸	min lru
冕柳鶯	min lru rj
棉鈴	min lij
綿力	min lik
勉力而為	min lik yi wri
綿連	min lin
眄睞	min loi
面露不悅	min lou brt yvd
綿聯	min lvn
麵類	min l;i
綿裡藏針	min l;i coj zrm
緬文	min mrn
眄眄	min min
面面	min min
綿綿不絕	min min brt zvd
面面觀	min min gun
面面俱圓	min min k;i yvn
綿邈	min mok
緬邈	min mok
棉毛	min mou
面毛	min mou
面懵	min muj
面懵懵	min muj muj
面懵心精	min muj srm zej
面木木	min muk muk
棉衲	min nap
冕寧	min nij
冕寧縣	min nij yvn
面燶燶	min nuj nuj
棉棒	min paj
面皰	min pau
面皮	min pei
面皮厚	min pei hru
免賠	min pui
免賠條款	min pui tiu fun
面衫	min sam
免洗杯	min sri bui
面心立方最密堆積	min srm lap foj z;i mrt d;i zik
面首	min sru
面授機宜	min sru gei yi
免受傷害	min sru s;j hoi
眄視	min si
麪豉	min si
麵豉	min si
面試工作	min si guj zok
面試會	min si wui
麵豉醬	min si z;j
麪食	min sik
面色如土	min sik yv tou
麵線	min sin
麵塑	min sou
面書	min sv
免稅店	min s;i dim
面商	min s;j
面頭	min tru
麪條	min tiu
麵條兒	min tiu yi
棉胎	min toi
麵湯	min toj
麵團	min tvn
麵窩	min wo
面黃肌閎	min woj gei wrj
面黃黃	min woj woj
麵糊	min wu
麵人兒	min yrn yi
緬因州	min yrn zru
面友	min yru
面有菜色	min yru coi sik
面兒	min yi
免刑	min yij
面型	min yij
面形	min yij
面影	min yij
免役	min yik
免疫法	min yik fad
免疫反應	min yik fan yij
免疫系統	min yik hri tuj
免疫學	min yik hok
免疫應答	min yik yij dap
面諛	min yv
面諭	min yv
面譽	min yv
面如灰土	min yv fui tou
勉縣	min yvn
綿遠	min yvn
緬元	min yvn
綿陽地區	min y;j dei k;i
綿陽市	min y;j si
綿羊仔	min y;j zri
棉藥籤	min y;k cim
免責聲明	min zak sij mij
免責條款	min zak tiu fun
免治	min zi
免至	min zi
綿子	min zi
棉織品	min zik brn
面左左	min zo zo
面謝	min ze
綿竹	min zuk
綿竹市	min zuk si
綿竹縣	min zuk yvn
面珠	min zv
面珠墩	min zv drn
綿惙	min zvd
面敘	min z;i
冕雀	min z;k
滅茬	mit ca
滅此朝食	mit ci ziu sik
蔑稱	mit cij
篾青	mit cej
滅蟲寧	mit cuj nij
滅除	mit c;i
滅度	mit dou
滅火喉	mit fo hru
滅火筒	mit fo tuj
蠛蠓	mit muj
篾片	mit pin
滅鼠藥	mit sv y;k
滅音器	mit yrm hei
滅種	mit zuj
滅種罪	mit zuj z;i
滅絕種族	mit zvt zuj zuk
秒表	miu biu
秒差距	miu ca k;i
妙策	miu cak
苗床	miu coj
藐法	miu fad
妙法蓮華經	miu fat lin wa gij
藐忽	miu frd
渺乎其微	miu fu kei mei
苗家	miu ga
廟街	miu gai
描金	miu grm
藐孤	miu gu
廟口	miu hru
廟號	miu hou
苗期	miu kei
妙訣	miu kvd
妙齡少女	miu lij siu n;i
苗栗	miu l;d
妙論	miu l;n
苗栗市	miu l;t si
苗栗縣	miu l;t yvn
杳冥	miu mij
窈冥	miu mij
杳杳	miu miu
杳渺	miu miu
杳眇	miu miu
眇眇	miu miu
窈窈	miu miu
藐藐	miu miu
妙妙熊歷險記	miu miu huj lik him gei
渺渺茫茫	miu miu moj moj
杳茫	miu moj
淼茫	miu moj
杳無消息	miu mou siu sik
渺無音信	miu mou yrm s;n
杳無人煙	miu mou yrn yin
渺無人煙	miu mou yrn yin
杳無人跡	miu mou yrn zik
杳靄	miu oi
窈靄	miu oi
妙手空空	miu sru huj huj
藐視法庭	miu si fat tij
藐視一切	miu si yrt cri
喵星人	miu sij yrn
眇小	miu siu
藐小	miu siu
妙想天開	miu s;j tin hoi
妙探尋兇	miu tam crm huj
廟塔	miu tap
描圖	miu tou
描圖紙	miu tou zi
渺運	miu wrn
妙語解頤	miu yv gai yi
妙語橫生	miu yv waj srj
杳如黃鶴	miu yv woj hok
妙語如珠	miu yv yv zv
渺遠	miu yvn
渺子	miu zi
妙智慧	miu zi wri
妙在不言中	miu zoi brt yin zuj
廟祝	miu zuk
廟祝公	miu zuk guj
廟主	miu zv
瞄準具	miu z;n g;i
摸吧	mo ba
摸八圈	mo bat hvn
磨不開	mo brt hoi
摸不著	mo brt z;k
摸不着頭腦	mo brt z;k tru nou
摩擦音	mo cat yrm
摩擦阻力	mo cat zo lik
磨齒	mo ci
摸彩	mo coi
魔賽克	mo coi hrk
磨杵成針	mo cv sij zrm
磨穿鐵硯	mo cvn tit yin
摩打	mo da
摩登原始人	mo drj yvn ci yrn
磨得開	mo drk hoi
摩德納	mo drk nap
磨豆腐	mo dru fu
摩的	mo dik
摩度	mo dou
摩頂放踵	mo dej foj zuj
磨快	mo fai
磨煩	mo fan
磨坊主	mo foj zv
摩加迪休	mo ga dik yru
魔戒	mo gai
摩根士丹利	mo grn si dan lei
魔高一丈道高一尺	mo gou yrt z;j dou gou yrt cek
磨機	mo gei
磨菇	mo gu
蘑菇湯	mo gu toj
蘑菇雲	mo gu wrn
魔宮	mo guj
磨工病	mo guj bej
魔宮傳奇	mo guj zvn kei
魔怪	mo xai
魔鬼島	mo xri dou
魔鬼粘	mo xri nim
魔鬼魚	mo xri yv
磨腳石	mo g;k sek
摩蟹座	mo hai zo
摩睺羅伽	mo hru lo ga
摩訶	mo ho
摩訶婆羅多	mo ho po lo do
磨耗	mo hou
磨起泡	mo hei pau
摩卡	mo ka
摩卡咖啡	mo ka ga fe
摩揭陀	mo kit to
魔羯座	mo kit zo
磨煉	mo lin
磨料	mo liu
摩囉差	mo lo ca
摩羅街	mo lo gai
摩利臣街	mo lei srn gai
磨碌	mo luk
摩鹿加群島	mo luk ga qrn dou
摸盲盲	mo maj maj
摸脈	mo mrk
饃饃	mo mo
麼麼	mo mo
摩門	mo mun
摸門釘	mo mun dej
摩門教	mo mun gau
摩門經	mo mun gij
魔難	mo nan
摩尼	mo nei
摩尼教	mo nei gau
摸排	mo pai
摸牌	mo pai
魔棒	mo paj
磨破口舌	mo po hru sid
磨破嘴皮	mo po z;i pei
磨破嘴皮子	mo po z;i pei zi
磨砂膏	mo sa gou
摩薩德	mo sat drk
摩西	mo sri
摩西的律法	mo sri dik l;t fad
摩西五經	mo sri j gij
摩西律法	mo sri l;t fad
磨心	mo srm
摸身摸勢	mo srn mo sri
魔獸世界	mo sru sri gai
摩斯電碼	mo si din ma
摩斯拉	mo si lai
摩斯密碼	mo si mrt ma
摩城	mo sij
摩星嶺	mo sij lej
摩星嶺道	mo sij lej dou
摩娑	mo so
摩梭	mo so
摩梭族	mo so zuk
摩蘇爾	mo sou yi
磨石粗砂岩	mo sek cou sa jam
磨石砂礫	mo sek sa lik
摸石頭過河	mo sek tru xo ho
磨損率	mo svn l;d
魔術方塊	mo s;t foj fai
魔術棒	mo s;t paj
魔術貼	mo s;t tip
摩天大廈	mo tin dai ha
摩天樓	mo tin lru
嚤佗	mo to
摩托車的士	mo tok ce dik si
摩托羅垃	mo tok lo lap
磨叨	mo tou
魔王撒旦	mo woj sat dan
磨人	mo yrn
摩爾多瓦人	mo yi do ja yrn
摩爾根	mo yi grn
摩爾門	mo yi mun
摩爾門經	mo yi mun gij
摩爾斯電碼	mo yi si din ma
摩爾人	mo yi yrn
摸魚	mo yv
磨洋工	mo y;j guj
磨製石器	mo zri sek hei
摸酒杯底	mo zru bui dri
磨子	mo zi
磨折	mo zid
魔怔	mo zij
磨唧	mo zik
磨嘴	mo z;i
磨嘴皮	mo z;i pei
磨嘴皮子	mo z;i pei zi
摸象	mo z;j
亡八	moj bad
忘八	moj bad
忘八旦	moj bat dan
忘八蛋	moj bat dan
亡兵紀念日	moj bij gei nim yrd
忘餐	moj can
忘餐廢寢	moj can fri crm
望診	moj crn
芒刺在背	moj ci zoi bui
芒草	moj cou
莽草	moj cou
妄取	moj c;i
網蝽	moj c;n
網特	moj drk
網袋	moj doi
望都	moj dou
望到頸都長	moj dou gej dou z;j
望都縣	moj dou yvn
妄斷	moj dvn
網段	moj dvn
望花	moj fa
望花區	moj fa k;i
望夫石	moj fu sek
望風	moj fuj
望風捕影	moj fuj bou yij
望風而逃	moj fuj yi tou
網咖	moj ga
網架	moj ga
網禁	moj grm
網景	moj gij
亡戟得矛	moj gik drk mau
望江	moj goj
望江縣	moj goj yvn
望角	moj gok
忘機	moj gei
忘記密碼	moj gei mrt ma
網罟座	moj gu zo
網管系統	moj gun hri tuj
網管員	moj gun yvn
網管接口	moj gun zip hru
杧果	moj xo
芒果布甸	moj xo bou din
芒果汁	moj xo zrp
亡國虜	moj xok lou
亡國滅種	moj xok mit zuj
亡國之音	moj xok zi yrm
妄下雌黃	moj ha ci woj
網開三面	moj hoi sam min
芒康	moj hoj
芒康縣	moj hoj yvn
網孔	moj huj
茫崖	moj jai
茫崖行政區	moj jai hrj zij k;i
茫崖行政委員會	moj jai hrj zij wri yvn wui
茫崖區	moj jai k;i
牤牛	moj jru
妄求	moj kru
網球賽	moj kru coi
網球場	moj kru c;j
網橋	moj kiu
忘其所以	moj kei so yi
望樓	moj lru
忙狼	moj loj
網絡層	moj lok crj
網絡層協議	moj lok crj hip yi
網絡遷移	moj lok cin yi
網絡設備	moj lok cit bei
網絡設計	moj lok cit gri
網絡操作系統	moj lok cou zok hri tuj
網絡打印機	moj lok da yrn gei
網絡特工	moj lok drk guj
網絡科技	moj lok fo gei
網絡管理系統	moj lok gun lei hri tuj
網絡管理員	moj lok gun lei yvn
網絡廣告	moj lok xoj gou
網絡客	moj lok hak
網絡協議	moj lok hip yi
網絡欺詐	moj lok hei za
網絡空間	moj lok huj gan
網絡瀏覽器	moj lok lru lam hei
網絡俚語	moj lok lei yv
網絡規劃人員	moj lok qri wak yrn yvn
網絡成癮	moj lok sij yrn
網絡鐵路	moj lok tit lou
網絡環境	moj lok wan gij
網絡日記	moj lok yrt gei
網絡應用	moj lok yij yuj
網絡用語	moj lok yuj yv
網絡語音	moj lok yv yrm
網絡語言	moj lok yv yin
網絡直徑	moj lok zik gij
網路特務	moj lou drk mou
網路服務	moj lou fuk mou
網路架構	moj lou ga kru
網路鏈接層	moj lou lin zip crj
網路平台	moj lou pij toi
網路環境	moj lou wan gij
網路應用	moj lou yij yuj
網路節點	moj lou zit dim
網路節點介面	moj lou zit dim gai min
網路作業系統	moj lou zok yip hri tuj
忙裏偷閒	moj l;i tru han
蝄蜽	moj l;j
魍魎	moj l;j
魍魎鬼怪	moj l;j xri xai
網襪	moj mrd
亡命徒	moj mij tou
忙忙叨叨	moj moj tou tou
亡母	moj mou
望謨	moj mou
望謨縣	moj mou yvn
妄念	moj nim
望女成鳳	moj n;i sij fuj
望安	moj on
望安鄉	moj on h;j
網片	moj pin
蟒袍	moj pou
網盤	moj pun
望奎	moj qri
望奎縣	moj qri yvn
邙山	moj san
邙山行	moj san hrj
望山跑死馬	moj san pau sei ma
妄生穿鑿	moj srj cvn zok
網師園	moj si yvn
忘性	moj sij
望城	moj sij
望城縣	moj sij yvn
妄說	moj svd
網箱	moj s;j
網上廣播	moj s;j xoj bo
妄想狂	moj s;j qoj
妄想症	moj s;j zij
網杓	moj s;k
望天打卦	moj tin da xa
亡佚	moj yrd
妄人	moj yrn
忘恩	moj yrn
忘憂草	moj yru cou
望而興嘆	moj yi hij tan
妄言妄聽	moj yin moj tij
茫然失措	moj yin srt cou
惘然若失	moj yin y;k srd
網頁設計	moj yip cit gri
網頁地址	moj yip dei zi
妄語	moj yv
網語	moj yv
望遠鏡座	moj yvn gej zo
望遠瞄準鏡	moj yvn miu z;n gej
望洋興歎	moj y;j hij tan
網際	moj zri
網際電話	moj zri din wa
網際協定	moj zri hip dij
網際網絡	moj zri moj lok
網際網路	moj zri moj lou
網際網路協會	moj zri moj lou hip wui
網際色情	moj zri sik cij
網誌	moj zi
網狀脈	moj zoj mrk
亡者	moj ze
忙中有錯	moj zuj yru co
忙中有失	moj zuj yru srd
望住	moj zv
忙進忙出	moj z;n moj c;d
莫伯日	mok bak yrd
漠北	mok brk
莫不聞	mok brt mrn
莫不然	mok brt yin
莫不逾侈	mok brt yv ci
莫測高深	mok crk gou srm
膜翅目	mok ci muk
剝採比	mok coi bei
莫迪	mok dik
剝啄	mok d;k
剝花生	mok fa srj
莫霍洛維奇	mok fok lok wri kei
莫霍洛維奇不連續面	mok fok lok wri kei brt lin zuk min
莫霍面	mok fok min
幕間	mok gan
莫吉托	mok grt tok
漠鵖	mok gip
莫傑斯特	mok git si drk
莫講	mok goj
剝光豬	mok xoj zv
莫哈韋沙漠	mok ha wri sa mok
莫克姆灣	mok hrk mou wan
幕後操縱	mok hru cou zuj
幕後花絮	mok hru fa s;i
莫可名狀	mok ho mij zoj
漠河縣	mok ho yvn
莫可指數	mok ho zi sou
剝殼	mok hok
莫罕達斯	mok hon dat si
膜孔	mok huj
剝牙	mok ja
莫臥兒王朝	mok jo yi woj ciu
莫拉萊斯	mok lai loi si
莫力達瓦達斡爾族自治旗	mok lik dat ja dat wat yi zuk zi zi kei
莫羅尼	mok lo nei
莫洛尼	mok lok nei
莫里哀	mok lei oi
莫利森	mok lei srm
邈冥冥	mok mij mij
邈邈	mok mok
漠南	mok nam
莫內	mok noi
莫奈	mok noi
剝皮器	mok pei hei
剝皮鉗	mok pei kim
剝衫	mok sam
莫三比克	mok sam bei hrk
莫斯特	mok si drk
剝削者	mok s;k ze
莫塔馬灣	mok tap ma wan
莫耳	mok yi
莫爾斯	mok yi si
莫爾斯電碼	mok yi si din ma
莫爾茲比港	mok yi zi bei goj
莫伊謝耶夫	mok yi ze ye fu
膜炎	mok yim
邈然	mok yin
邈遠	mok yvn
莫札特	mok zat drk
莫扎里拉	mok zat lei lai
冇精神	mou  zij srn
無把握	mou ba ak
姆巴巴納	mou ba ba nap
戊巴比妥鈉	mou ba bei to nap
模版	mou ban
母板	mou ban
冇辦法	mou ban fad
無品	mou brn
無不達	mou brt dad
毛嗶嘰	mou brt gei
毛邊	mou bin
舞抃	mou bin
毛邊紙	mou bin zi
冇表情	mou biu cij
無表情	mou biu cij
蕪駁	mou bok
無保留	mou bou lru
無補於事	mou bou yv si
無比較級	mou bei gau krp
無病自灸	mou bej zi gru
摹本	mou bun
冇本心	mou bun srm
無伴奏合唱	mou bun zru hrp c;j
毛茶	mou ca
無猜	mou cai
模似	mou ci
毛廁	mou ci
無似	mou ci
無翅	mou ci
蕪詞	mou ci
無齒翼龍	mou ci yik luj
務請	mou cij
武清	mou cij
無情白事	mou cij bak si
無情雞	mou cij gri
武清區	mou cij k;i
無千無萬	mou cin mou man
冇錯	mou co
旄車	mou ce
毛重	mou cuj
無處可尋	mou cv ho crm
無處容身	mou cv yuj srn
武川	mou cvn
務川仡佬族苗族自治縣	mou cvn go lou zuk miu zuk zi zi yvn
冇穿冇爛	mou cvn mou lan
務川縣	mou cvn yvn
武川縣	mou cvn yvn
務川自治縣	mou cvn zi zi yvn
無取勝希望者	mou c;i sij hei moj ze
墓場	mou c;j
武昌起義	mou c;j hei yi
武昌區	mou c;j k;i
