一个	yrt go
细叶榕	sri yip yuj
西耶那	sri ye na
西戎	sri yuj
洗浴中心	sri yuk zuj srm
西屿	sri yv
西屿乡	sri yv h;j
洗冤	sri yvn
西元前	sri yvn cin
誓愿当食生菜	sri yvn doj sik saj coi
洗冤集录	sri yvn zap luk
西洋杉	sri y;j cam
西洋菜	sri y;j coi
西洋菜街	sri y;j coi gai
西洋景	sri y;j gij
西洋镜	sri y;j gej
西洋鬼	sri y;j xri
西洋棋	sri y;j kei
西洋拳	sri y;j kvn
西洋人	sri y;j yrn
西洋仔	sri y;j zri
细润	sri y;n
世袭君主国	sri zap xrn zv xok
世袭之争	sri zap zi zrj
世侄	sri zrt
世姪	sri zrt
世胄	sri zru
势子	sri zi
西子	sri zi
西纸	sri zi
细支气管炎	sri zi hei gun yim
西子捧心	sri zi puj srm
势阱	sri zij
世职	sri zik
西直门	sri zik mun
洗剪吹	sri zin c;i
势在必得	sri zoi bit drk
西藏百万农奴解放纪念日	sri zoj bak man nuj nou gai foj gei nim yrt
西装裤	sri zoj fu
西装骨骨	sri zoj xrt xrt
西藏毛腿沙鸡	sri zoj mou t;i sa gri
西藏人	sri zoj yrn
西装友	sri zoj yru
洗濯	sri zok
细姐	sri ze
逝者	sri ze
洗者若翰	sri ze y;k hon
细只	sri zek
世宗	sri zuj
世宗大王	sri zuj dai woj
势族	sri zuk
誓绝	sri zvt
世尊	sri zvn
细嘴短趾百灵	sri z;i dvn zi bak lij
细嘴鸥	sri z;i ru
细嘴黄鹂	sri z;i woj lei
世爵	sri z;k
生埗	srj bou
生暴	srj bou
生保人	srj bou yrn
擤鼻涕	srj bei tri
生产设施	srj can cit si
生产单位	srj can dan wri
生产反应堆	srj can fan yij d;i
生产企业	srj can kei yip
生产劳动	srj can lou duj
生产成本	srj can sij bun
生产要素	srj can yiu sou
生产自救	srj can zi gru
生肖属相	srj ciu suk s;j
生存农业	srj cvn nuj yip
生存环境	srj cvn wan gij
蹭蹬	srj drj
生化学	srj fa hok
生花妙笔	srj fa miu brt
生化武器	srj fa mou hei
生发	srj fat
生发剂	srj fat zri
生辉	srj fri
生父母	srj fu mou
生胶	srj gau
生鸡	srj gri
生鸡精	srj gri zij
生技	srj gei
生技医药	srj gei yi y;k
笙管	srj gun
生光	srj xoj
生耗氧量	srj hou y;j l;j
蹭吃	srj hek
蹭吃蹭喝	srj hek srj hot
生拉硬拽	srj lai jaj yri
生拉活扯	srj lai wut ce
生力	srj lik
生理假	srj lei ga
生理学家	srj lei hok ga
生理性	srj lei sij
生理卫生	srj lei wri srj
生理盐水	srj lei yim s;i
生物柴油	srj mrt cai yru
生物测定	srj mrt cak dij
生物材料	srj mrt coi liu
生物传感器	srj mrt cvn grm hei
生物大灭绝	srj mrt dai mit zvt
生物弹药	srj mrt dan y;k
生物多元化	srj mrt do yvn fa
生物多样性	srj mrt do y;j sij
生物化学家	srj mrt fa hok ga
生物化学站剂	srj mrt fa hok zam zri
生物反应器	srj mrt fan yij hei
生物分析法	srj mrt frn sik fat
生物科技	srj mrt fo gei
生物碱	srj mrt gan
生物降解	srj mrt goj gai
生物高分子	srj mrt gou frn zi
生物工程学	srj mrt guj cij hok
生物学家	srj mrt hok ga
生物气体	srj mrt hei tri
生物恐怖主义	srj mrt huj bou zv yi
生物力学	srj mrt lik hok
生物量	srj mrt l;j
生物媒介	srj mrt mui gai
生物能	srj mrt nrj
生物群	srj mrt qrn
生物性	srj mrt sij
生物体	srj mrt tri
生物活化性	srj mrt wut fa sij
生物医学工程	srj mrt yi hok guj cij
生物燃料	srj mrt yin liu
生物质	srj mrt zrt
生物制品	srj mrt zri brn
生物剂量仪	srj mrt zri l;j yi
生物制剂	srj mrt zri zri
生物质能	srj mrt zrt nrj
生物晶片	srj mrt zij pin
生物战	srj mrt zin
生物战剂	srj mrt zin zri
生物专一性	srj mrt zvn yrt sij
生灭	srj mit
生命不息战斗不止	srj mij brt sik zin dru brt zi
生命多样性	srj mij do y;j sij
生命吠陀	srj mij fri to
生命周期	srj mij zru kei
生命征象	srj mij zij z;j
生命迹象	srj mij zik z;j
生闷气	srj mun hei
生奶油	srj nai yru
生平简介	srj pij gan gai
生平事迹	srj pij si zik
生杀大权	srj sat dai kvn
生杀予夺	srj sat yv dvt
生成树	srj sij sv
笙箫	srj siu
生蛇	srj se
生死关头	srj sei xan tru
生死未卜	srj sei mei buk
生死肉骨	srj sei yuk xrt
生死之交	srj sei zi gau
生态孤岛	srj tai gu dou
生态学家	srj tai hok ga
生态圈	srj tai hvn
生态旅游	srj tai l;i yru
生态农业	srj tai nuj yip
生态环境游	srj tai wan gij yru
生态友好型	srj tai yru hou yij
生态足迹	srj tai zuk zik
生疼	srj trj
生还者	srj wan ze
生畏	srj wri
生荣死哀	srj wij sei oi
笙簧	srj woj
生活必需品	srj wut bit s;i brn
生活设施	srj wut cit si
生活阔绰	srj wut fut c;k
生活馆	srj wut gun
生活垃圾	srj wut lap sap
生活美学	srj wut mei hok
生活水准	srj wut s;i z;n
生活污水	srj wut wu s;i
生活质料	srj wut zrt liu
生活作风	srj wut zok fuj
生有权	srj yru kvn
生厌	srj yim
生盐	srj yim
生育率	srj yuk l;t
生育能力	srj yuk nrj lik
生于忧患死于安乐	srj yv yru wan sei yv on lok
生员	srj yvn
生仔	srj zri
生仔唔知仔心肝	srj zri m zi zri srm gon
生仔冇屎忽	srj zri mou si frt
生仔冇屎窟	srj zri mou si frt
生螆猫入眼	srj zi mau yrp jan
生殖系统	srj zik hri tuj
生殖力	srj zik lik
生殖轮	srj zik l;n
生殖细胞	srj zik sri bau
生殖腺	srj zik sin
生招牌	srj ziu pai
生长激素	srj z;j gik sou
生卒年	srj z;t nin
生卒年月	srj z;t nin yvt
塞窦窿	srk dru luj
塞豆窿	srk dru luj
塞古盟憎	srk gu mrj zrj
塞牙	srk ja
塞拉耶佛	srk lai ye frt
塞勒姆	srk lrk mou
塞万提斯	srk man tri si
塞音	srk yrm
塞耳	srk yi
塞席尔	srk zik yi
噻唑	srk zo
森巴舞	srm ba mou
深闭固拒	srm bri gu k;i
沈北新	srm brk srn
沈北新区	srm brk srn k;i
深笔字	srm brt zi
心搏	srm bok
沈葆祯	srm bou zij
深层清洁	srm crj cij git
深情款款	srm cij fun fun
心清理静	srm cij lei zij
深切治疗部	srm cit zi liu bou
心材	srm coi
深藏若虚	srm coj y;k h;i
心躁	srm cou
甚且	srm ce
心重	srm cuj
审处	srm cv
深蹲	srm cvn
心存不满	srm cvn brt mun
心存怀疑	srm cvn wai yi
渗出物	srm c;t mrt
心大心细	srm dai srm sri
审谛	srm dri
深得民心	srm drk mrn srm
心得安	srm drk on
审订	srm dij
心电感应	srm din grm yij
沈殿霞	srm din ha
心多	srm do
心多多	srm do do
心荡神驰	srm doj srn ci
审度	srm dok
审度时势	srm dok si sri
深度尺	srm dou cek
深度学习	srm dou hok zap
心都凉晒	srm dou l;j sai
心都实	srm dou srt
心地好	srm dei hou
心动图	srm duj tou
审读	srm duk
心毒	srm duk
心毒手辣	srm duk sru lat
审断	srm dvn
心翳	srm ri
心瓣	srm fan
心烦气躁	srm fan hei cou
心肺复苏法	srm fri fuk sou fat
心肺复苏术	srm fri fuk sou s;t
心火	srm fo
心火盛	srm fo sij
心房颤动	srm foj zin duj
深孚众望	srm fu zuj moj
沈复	srm fuk
深耕细作	srm gaj sri zok
审计员	srm gri yvn
审计长	srm gri z;j
心梗	srm grj
甚感诧异	srm grm ca yi
心甘命抵	srm grm mej dri
心急吃不了热豆腐	srm grp hek brt liu yit dru fu
心惊胆颤	srm gij dam zin
心𠮶句口𠮶句	srm go g;i hru go g;i
审改	srm goi
深港	srm goj
审干	srm gon
心肝椗	srm gon dij
心肝唔搭肺	srm gon m dap fri
心肝脾肺肾	srm gon pei fri srn
甚高频	srm gou prn
审稿人	srm gou yrn
心肌梗塞	srm gei grj srk
心肌梗死	srm gei grj sei
心惊胆跳	srm gej dam tiu
岑巩	srm guj
岑巩县	srm guj yvn
心挂挂	srm xa xa
心广体胖	srm xoj tri pun
沈国放	srm xok foj
甚巨	srm g;i
甚钜	srm g;i
心下	srm ha
渗坑	srm haj
深坑乡	srm haj h;j
心口如一	srm hru yv yrt
心口针	srm hru zrm
沈河	srm ho
沈河区	srm ho k;i
森海塞尔	srm hoi coi yi
深海围网	srm hoi wri moj
深海烟囱	srm hoi yin cuj
心学	srm hok
森喜朗	srm hei loj
心孔	srm huj
心胸狭隘	srm huj hap ai
深红色	srm huj sik
心血管疾病	srm hvt gun zrt bej
心许	srm h;i
心眼大	srm jan dai
心眼多	srm jan do
心眼好	srm jan hou
心眼小	srm jan siu
岑溪	srm kri
岑溪市	srm kri si
审级	srm krp
心噏	srm krp
审级制度	srm krp zri dou
渗沟	srm kru
沈括	srm kut
深蓝色	srm lam sik
森林脑炎	srm lrm nou yim
森林培育	srm lrm pui yuk
心灵感应	srm lij grm yij
心领神悟	srm lij srn j
心灵上	srm lij s;j
心力衰竭	srm lik s;i kit
森罗	srm lo
森罗宝殿	srm lo bou din
森罗殿	srm lo din
心理诊所	srm lei crn so
心理词典	srm lei ci din
心理防线	srm lei foj sin
心理学家	srm lei hok ga
心理统计学	srm lei tuj gri hok
心理因素	srm lei yrn sou
心理治疗	srm lei zi liu
心理战	srm lei zin
心理作用	srm lei zok yuj
深绿	srm luk
心乱	srm lvn
心里	srm l;i
渗滤	srm l;i
心里美萝卜	srm l;i mei lo bak
渗滤壶	srm l;i wu
心里有谱	srm l;i yru pou
心里有数	srm l;i yru sou
心里痒痒	srm l;i y;j y;j
渗凉	srm l;j
心轮	srm l;n
心律不齐	srm l;t brt cri
心律不整	srm l;t brt zij
心律失常	srm l;t srt s;j
深密	srm mrt
深谋	srm mru
深谋远略	srm mru yvn l;k
甚么的	srm mo dik
什么地方	srm mo dei foj
什么风把你吹来的	srm mo fuj ba nei c;i loi dik
什么好说	srm mo hou svt
甚么事	srm mo si
甚么时候	srm mo si hru
甚么人	srm mo yrn
甚么样	srm mo y;j
婶母	srm mou
心无二用	srm mou yi yuj
审美快感	srm mei fai grm
审美眼光	srm mei jan xoj
森美兰	srm mei lan
审美活动	srm mei wut duj
甚浓	srm nuj
心安神闲	srm on srn han
岑彭	srm paj
心怦怦跳	srm pij pij tiu
心砰砰跳	srm pij pij tiu
心抱	srm pou
心抱仔	srm pou zri
审判权	srm pun kvn
审判栏	srm pun lan
审判庭	srm pun tij
审判席	srm pun zik
审判者	srm pun ze
心散	srm san
心实	srm srt
心谂	srm srm
森森	srm srm
心神不安	srm srn brt on
心神不属	srm srn brt suk
审慎行事	srm srn hrj si
心神专注	srm srn zvn zv
参宿	srm sru
心秀	srm sru
参宿七	srm sru crt
心宿二	srm sru yi
心思思	srm si si
深省	srm sij
深成岩	srm sij jam
心息	srm sik
心适	srm sik
渗析	srm sik
渗色	srm sik
心羡	srm sin
心爽	srm soj
参薯	srm sv
梣树	srm sv
参孙	srm svn
心水	srm s;i
沁水	srm s;i
心绪不佳	srm s;i brt gai
心绪不宁	srm s;i brt nij
深水埗	srm s;i bou
深水埗区	srm s;i bou k;i
心水清	srm s;i cij
深水湾	srm s;i wan
沁水县	srm s;i yvn
深水炸弹	srm s;i za dan
心淡	srm tam
渗透压	srm tru at
心头高	srm tru gou
心头肉	srm tru yuk
心甜	srm tim
心土	srm tou
深挖	srm wat
心窝儿	srm wo yi
心音	srm yrm
心悒	srm yrp
沁入	srm yrp
深入显出	srm yrp hin c;t
沈丘	srm yru
心有余力不足	srm yru yv lik brt zuk
沈丘县	srm yru yvn
心疑	srm yi
深衣	srm yi
心意咭	srm yi kat
沈莹	srm yij
心影儿	srm yij yi
心弦	srm yin
森然	srm yin
参茸	srm yuj
心喐喐	srm yuk yuk
心郁郁	srm yuk yuk
沁源	srm yvn
沁县	srm yvn
深县	srm yvn
心愿单	srm yvn dan
深源地震	srm yvn dei zrn
沁源县	srm yvn yvn
沈阳故宫	srm y;j gu guj
沁阳市	srm y;j si
沈阳市	srm y;j si
沈约	srm y;k
心窄	srm zak
深泽	srm zak
深泽县	srm zak yvn
心杂音	srm zap yrm
深圳交易所	srm zrn gau yik so
深圳经济特区	srm zrn gij zri drk k;i
深圳健力宝	srm zrn gin lik bou
深圳河	srm zrn ho
深圳证券交易所	srm zrn zij hvn gau yik so
深州	srm zru
深州市	srm zru si
郴州市	srm zru si
甚至乎	srm zi fu
甚至无	srm zi mou
深睛凸额	srm zij drt jak
心静自然凉	srm zij zi yin l;j
心直嘴快	srm zik z;i fai
心折	srm zip
心焦	srm ziu
心脏病发	srm zoj bej fat
心脏搭桥手术	srm zoj dap kiu sru s;t
心脏收缩压	srm zoj sru suk at
心脏舒张压	srm zoj sv z;j at
心脏移殖	srm zoj yi zik
心脏杂音	srm zoj zap yrm
心脏疾患	srm zoj zrt wan
深棕	srm zuj
深棕色	srm zuj sik
心中有鬼	srm zuj yru xri
心中有屎	srm zuj yru si
心足	srm zuk
心拙口夯	srm zvt hru brn
心拙口笨	srm zvt hru brn
心醉神迷	srm z;i srn mri
审酌	srm z;k
新亚书院	srn a sv yvn
新巴	srn ba
辛巴威	srn ba wri
新巴尔虎右旗	srn ba yi fu yru kei
新巴尔虎左旗	srn ba yi fu zo kei
身板儿	srn ban yi
新北	srn brk
新北区	srn brk k;i
新北市	srn brk si
呻笨	srn brn
新宾满族自治县	srn brn mun zuk zi zi yvn
新宾县	srn brn yvn
申不害	srn brt hoi
新不列颠岛	srn brt lit din dou
新不伦瑞克	srn brt l;n s;i hrk
新埔	srn bou
辛布	srn bou
申报单	srn bou dan
新埔镇	srn bou zrn
神秘	srn bei
神秘化	srn bei fa
神秘主义	srn bei zv yi
晨勃	srn but
辛贝特	srn bui drk
臣仆	srn buk
神差鬼使	srn cai xri si
新产品推介会	srn can brn t;i gai wui
辛丑条约	srn cru tiu y;k
神池	srn ci
神祠	srn ci
神池县	srn ci yvn
新青	srn cij
新青区	srn cij k;i
申请人	srn cij yrn
申饬	srn cik
新朝	srn ciu
新蔡	srn coi
身才	srn coi
新蔡县	srn coi yvn
新造站	srn cou zam
新簇簇	srn cuk cuk
薪传	srn cvn
新昌	srn c;j
新出炉	srn c;t lou
新出生	srn c;t srj
神打	srn da
新丁	srn dij
辛迪加	srn dik ga
神的儿子	srn dik yi zi
新店溪	srn dim kri
新店市	srn dim si
神雕侠侣	srn diu hrp l;i
神雕侠侣	srn diu hrp l;i
新党	srn doj
身当命抵	srn doj mej dri
新都	srn dou
神道教	srn dou gau
新都桥	srn dou kiu
新都桥镇	srn dou kiu zrn
新都区	srn dou k;i
新地	srn dei
慎独	srn duk
身毒	srn duk
新化	srn fa
砷化氢	srn fa hij
新化市	srn fa si
新化县	srn fa yvn
新化镇	srn fa zrn
砷凡纳明	srn fan nap mij
胂凡纳明	srn fan nap mij
新发家	srn fat ga
新发明	srn fat mij
神佛	srn frt
晨昏定省	srn frn dij sij
新芬党	srn frn doj
身份盗窃	srn frn dou sit
新婚夫妇	srn frn fu fu
身份卡	srn frn kat
身份识别卡	srn frn sik bit kat
新婚宴尔	srn frn yin yi
身分证	srn frn zij
身份证号码	srn frn zij hou ma
身分证号码	srn frn zij hou ma
身份证明	srn frn zij mij
辛伐他汀	srn frt ta tij
神不守舍	srn fru sru se
薪火相传	srn fo s;j cvn
新晃	srn foj
新晃侗族自治县	srn foj duj zuk zi zi yvn
新晃县	srn foj yvn
新妇	srn fu
神枯	srn fu
身负重伤	srn fu cuj s;j
神乎其技	srn fu kei gei
新抚区	srn fu k;i
辛苦揾嚟自在食	srn fu wrn lri zi zoi sik
新丰	srn fuj
神风	srn fuj
神风特攻队	srn fuj drk guj d;i
神风突击队	srn fuj drt gik d;i
新丰乡	srn fuj h;j
新丰县	srn fuj yvn
神福	srn fuk
新加坡共和国	srn ga bo guj wo xok
新加坡国立大学	srn ga bo xok lap dai hok
新加坡航空	srn ga bo hoj huj
新加坡人	srn ga bo yrn
身家清白	srn ga cij bak
新嫁娘	srn ga n;j
神家园	srn ga yvn
新界地产和富大埔	srn gai dei can wo fu dai bou
新界区	srn gai k;i
神格	srn gak
辛格	srn gak
身教胜于言教	srn gau sij yv yin gau
新教徒	srn gau tou
新金山	srn grm san
新金县	srn grm yvn
申根	srn grn
新九龙	srn gru luj
蜃景	srn gij
新京报	srn gij bou
神经病学	srn gij bej hok
神经纤维瘤	srn gij cim wri lru
神经大条	srn gij dai tiu
神经突	srn gij drt
神经毒素	srn gij duk sou
神经科	srn gij fo
神经胶质	srn gij gau zrt
神经胶质细胞	srn gij gau zrt sri bau
神经管	srn gij gun
神经学	srn gij hok
神经学家	srn gij hok ga
神经外科	srn gij joi fo
神经网	srn gij moj
神经网络	srn gij moj lok
神经网路	srn gij moj lou
神经氨酸酶	srn gij on svn mui
神经生物学	srn gij srj mrt hok
神经失常	srn gij srt s;j
神经性	srn gij sij
神经性毒剂	srn gij sij duk zri
神经性视损伤	srn gij sij si svn s;j
神经索	srn gij sok
神经原	srn gij yvn
神经元网	srn gij yvn moj
神经症	srn gij zij
身兼数职	srn gim sou zik
新建县	srn gin yvn
身娇肉贵	srn giu yuk xri
晨歌	srn go
伸港	srn goj
新绛	srn goj
神冈	srn goj
伸港乡	srn goj h;j
新港乡	srn goj h;j
神冈乡	srn goj h;j
新绛县	srn goj yvn
新干	srn gon
新干县	srn gon yvn
身高马大	srn gou ma dai
神高神大	srn gou srn dai
娠纪	srn gei
新纪	srn gei
身纪	srn gei
新几内亚	srn gei noi a
新畿内亚	srn gei noi a
身故	srn gu
新古典	srn gu din
新古典主义	srn gu din zv yi
新姑爷	srn gu ye
神工鬼斧	srn guj xri fu
神棍	srn xrn
辰光	srn xoj
身光颈靓	srn xoj gej lej
新疆歌鸲	srn g;j go k;i
新疆小盘鸡	srn g;j siu pun gri
新疆温宿县	srn g;j wrn suk yvn
臣下	srn ha
新喀里多尼亚	srn hak lei do nei a
身陷囹圄	srn ham lij yv
身陷牢笼	srn ham lou luj
身陷牢狱	srn ham lou yuk
身痕	srn hrn
申猴	srn hru
身㷫	srn hij
新兴经济国家	srn hij gij zri xok ga
新兴区	srn hij k;i
新兴县	srn hij yvn
新河	srn ho
新河县	srn ho yvn
辛亥	srn hoi
新海峡时报	srn hoi hap si bou
神学家	srn hok ga
神学士	srn hok si
神学研究所	srn hok yin gru so
神学院	srn hok yvn
新罕布什尔	srn hon bou srp yi
新罕布什尔州	srn hon bou srp yi zru
新血	srn hvt
新乡地区	srn h;j dei k;i
新乡市	srn h;j si
新乡县	srn h;j yvn
新五代史	srn j doi si
新芽	srn ja
新雅	srn ja
新艺拉玛	srn jri lai ma
新艺综合体	srn jri zuj hrp tri
辰溪	srn kri
辰溪县	srn kri yvn
辛勤耕耘	srn krn gaj wrn
神级	srn krp
神祇	srn kei
辛奇	srn kei
神奇宝贝	srn kei bou bui
新奇士	srn kei si
新剧同志会	srn kek tuj zi wui
呻穷	srn kuj
申曲	srn kuk
神权统治	srn kvn tuj zi
神权政治	srn kvn zij zi
新嚟新猪肉	srn lri srn zv yuk
新林	srn lrm
新林区	srn lrm k;i
晨褛	srn lru
神楼	srn lru
申令	srn lij
新力	srn lik
新历	srn lik
新历年	srn lik nin
身历声	srn lik sej
新罗区	srn lo k;i
新罗王朝	srn lo woj ciu
新来乍到	srn loi za dou
新郎哥	srn loj go
新浪微博	srn loj mei bok
新乐	srn lok
新乐市	srn lok si
臣虏	srn lou
神劳形瘁	srn lou yij s;i
新老爷	srn lou ye
申理	srn lei
新龙	srn luj
辰龙	srn luj
神龙汽车	srn luj hei ce
新龙县	srn luj yvn
身量	srn l;j
新马	srn ma
辛卯	srn mau
慎密	srn mrt
新密	srn mrt
新墨西哥州	srn mrk sri go zru
新闻报告	srn mrn bou gou
新闻处	srn mrn cv
新闻出版总署	srn mrn c;t ban zuj cv
新闻多多	srn mrn do do
新闻发布会	srn mrn fat bou wui
新闻简报	srn mrn gan bou
新闻记者	srn mrn gei ze
新闻学	srn mrn hok
新民晚报	srn mrn man bou
新闻网	srn mrn moj
新闻媒体	srn mrn mui tri
新民市	srn mrn si
新闻周刊	srn mrn zru hon
新闻周刊	srn mrn zru hon
新闻纸	srn mrn zi
新闻自由	srn mrn zi yru
新闻组	srn mrn zou
新闻主播	srn mrn zv bo
新民主主义论	srn mrn zv zv yi l;n
新密市	srn mrt si
申命记	srn mij gei
神妙隽美	srn miu z;n mei
神魔小说	srn mo siu svt
身无长物	srn mou c;j mrt
新慕道团	srn mou dou tvn
辛未	srn mei
新霉素	srn mui sou
神木县	srn muk yvn
新奶奶	srn nai nai
新南威尔士	srn nam wri yi si
新南威尔士州	srn nam wri yi si zru
新宁	srn nij
新宁县	srn nij yvn
新年前夕	srn nin cin zik
新年流流	srn nin lru lru
新年头	srn nin tru
新年进步	srn nin z;n bou
神鸟	srn niu
神奈川	srn noi cvn
神奈川县	srn noi cvn yvn
肾囊	srn noj
神农本草经	srn nuj bun cou gij
神农架地区	srn nuj ga dei k;i
神农架林区	srn nuj ga lrm k;i
新农合	srn nuj hrp
神农氏	srn nuj si
新女	srn n;i
神女峰	srn n;i fuj
神爱世人	srn oi sri yrn
新安	srn on
新安县	srn on yvn
神奥	srn ou
新奥尔良	srn ou yi l;j
新牌	srn pai
新牌仔	srn pai zri
新柏拉图主义	srn pak lai tou zv yi
新瓶旧酒	srn pij gru zru
新平彝族傣族自治县	srn pij yi zuk tai zuk zi zi yvn
新平县	srn pij yvn
新瓶装旧酒	srn pij zoj gru zru
新篇章	srn pin z;j
新抱	srn pou
新浦	srn pou
神谱	srn pou
新蒲岗	srn pou goj
新浦区	srn pou k;i
辛普森	srn pou srm
辛普森一家	srn pou srm yrt ga
新埤	srn pei
新埤乡	srn pei h;j
身披羽毛	srn pei yv mou
神沙	srn sa
辰砂	srn sa
新山	srn san
神山	srn san
新西伯利亚	srn sri bak lei a
新西伯利亚市	srn sri bak lei a si
新世界第一巴士服务有限公司	srn sri gai dri yrt ba si fuk mou yru han guj si
神心	srn srm
身心科	srn srm fo
身心交病	srn srm gau bej
身心交瘁	srn srm gau s;i
身心俱疲	srn srm k;i pei
身心爽快	srn srm soj fai
身心障碍	srn srm z;j joi
申申	srn srn
莘莘	srn srn
神神地	srn srn dei
神神化化	srn srn fa fa
神神经经	srn srn gij gij
辛辛那提	srn srn na tri
新修本草	srn sru bun cou
新仇旧恨	srn sru gru hrn
新愁旧恨	srn sru gru hrn
新市	srn si
申时	srn si
新斯科舍	srn si fo se
新屎坑	srn si haj
新市乡	srn si h;j
新市区	srn si k;i
新丝萝卜皮	srn si lo bak pei
辰时卯时	srn si mau si
新市镇	srn si zrn
辰星	srn sij
新城病	srn sij bej
新城电台	srn sij din toi
新城乡	srn sij h;j
新城区	srn sij k;i
神圣罗马帝国	srn sij lo ma dri xok
新成土	srn sij tou
神成为人	srn sij wri yrn
新城县	srn sij yvn
神圣周	srn sij zru
新潟	srn sik
新式拚法	srn sik pij fat
新潟县	srn sik yvn
新鲜滚热辣	srn sin xrn yit lat
神仙难救	srn sin nan gru
神仙肚	srn sin tou
新鲜人	srn sin yrn
新鲜热辣	srn sin yit lat
身先朝露	srn sin ziu lou
新邵	srn siu
肾小球	srn siu kru
新邵县	srn siu yvn
申诉书	srn sou sv
申诉专员公署	srn sou zvn yvn guj cv
新社	srn se
神社	srn se
新社乡	srn se h;j
新石器	srn sek hei
新石器时代	srn sek hei si doi
新宿	srn suk
臣属	srn suk
新宿区	srn suk k;i
伸缩喇叭	srn suk la ba
伸缩性	srn suk sij
伸雪	srn svt
申说	srn svt
申雪	srn svt
新选	srn svn
神髓	srn s;i
身水身汗	srn s;i srn hon
肾上腺皮质	srn s;j sin pei zrt
肾上腺髓质	srn s;j sin s;i zrt
新泰	srn tai
身态	srn tai
新泰市	srn tai si
神体	srn tri
身体部分	srn tri bou frn
身体检查	srn tri gim ca
身体质量指数	srn tri zrt l;j zi sou
身体障害	srn tri z;j hoi
新田	srn tin
新田县	srn tin yvn
新台币	srn toi bri
神台桔	srn toi grt
神台猫屎	srn toi mau si
新塘	srn toj
新唐书	srn toj sv
新土	srn tou
晨祷	srn tou
申讨	srn tou
神推鬼㧬	srn t;i xri guj
神推鬼拱	srn t;i xri guj
新屋	srn uk
新屋乡	srn uk h;j
神话故事	srn wa gu si
新华区	srn wa k;i
新华网	srn wa moj
新华日报	srn wa yrt bou
神慰	srn wri
新威胁	srn wri hip
晨运	srn wrn
神魂	srn wrn
新荣	srn wij
新荣区	srn wij k;i
新和	srn wo
新和县	srn wo yvn
神户市	srn wu si
神戸市	srn wu si
新会	srn wui
新会区	srn wui k;i
新会市	srn wui si
新会县	srn wui yvn
肾人	srn yrn
慎入	srn yrp
臣一主二	srn yrt zv yi
新邱	srn yru
神游	srn yru
辛酉	srn yru
神又系佢鬼又系佢	srn yru hri k;i xri yru hri k;i
新邱区	srn yru k;i
身有屎	srn yru si
新沂	srn yi
神异	srn yi
新义安	srn yi on
新意思	srn yi si
新沂市	srn yi si
新义州市	srn yi zru si
新营	srn yij
身型	srn yij
新英格兰	srn yij gak lan
新型农村合作医疗	srn yij nuj cvn hrp zok yi liu
新营市	srn yij si
慎言	srn yin
申言	srn yin
新热带界	srn yit dai gai
神嘢	srn ye
新野县	srn ye yvn
神谕	srn yv
神舆	srn yv
肾盂	srn yv
新儒家	srn yv ga
新余市	srn yv si
肾盂炎	srn yv yim
新园	srn yvn
新源	srn yvn
新县	srn yvn
莘县	srn yvn
新园乡	srn yvn h;j
新元史	srn yvn si
新源县	srn yvn yvn
辛烷值	srn yvn zik
新药	srn y;k
新约全书	srn y;k cvn sv
新扎	srn zat
申扎	srn zat
新泽西州	srn zak sri zru
辛集市	srn zap si
申扎县	srn zat yvn
新仔	srn zri
砷制剂	srn zri zri
神憎鬼厌	srn zrj xri yim
新洲	srn zru
申奏	srn zru
神舟电脑	srn zru din nou
神舟号飞船	srn zru hou fei svn
新洲区	srn zru k;i
新知	srn zi
神治	srn zi
辛巳	srn zi
神智不清	srn zi brt cij
神志昏迷	srn zi frn mri
神治国	srn zi xok
新字体	srn zi tri
新正	srn zij
新净	srn zij
神迹	srn zik
新殖民化	srn zik mrn fa
新殖民主义	srn zik mrn zv yi
神职人员	srn zik yrn yvn
伸展台	srn zin toi
身在曹营心在汉	srn zoi cou yij srm zoi hon
身在福中不知福	srn zoi fuk zuj brt zi fuk
新庄	srn zoj
申状	srn zoj
身壮力健	srn zoj lik gin
新庄市	srn zoj si
新造	srn zou
晨早	srn zou
神祖	srn zou
晨早流流	srn zou lru lru
神造论	srn zou l;n
新造镇	srn zou zrn
申谢	srn ze
新郑	srn zej
新郑市	srn zej si
新正头	srn zej tru
砷中毒	srn zuj duk
慎重其事	srn zuj kei si
慎终追远	srn zuj z;i yvn
新竹	srn zuk
新竹市	srn zuk si
新竹县	srn zuk yvn
神主牌	srn zv pai
新津	srn z;n
薪尽火传	srn z;n fo cvn
新津县	srn z;n yvn
十八世纪	srp bat sri gei
十八廿二	srp bat ya yi
十八日	srp bat yrt
十边形	srp bin yij
十卜	srp buk
湿柴	srp cai
湿疹	srp crn
十七孔桥	srp crt huj kiu
十七世纪	srp crt sri gei
十七日	srp crt yrt
十全	srp cvn
十大神兽	srp dai srn sru
拾得	srp drk
湿电	srp din
十多亿	srp do yik
湿度	srp dou
湿地	srp dei
湿地公园	srp dei guj yvn
十冬腊月	srp duj lap yvt
十动然拒	srp duj yin k;i
十分之一	srp frn zi yrt
湿货	srp fo
什邡市	srp foj si
十戒	srp gai
十诫	srp gai
拾芥	srp gai
十锦	srp grm
湿巾	srp grn
十九日	srp gru yrt
十个茶壶九个盖	srp go ca wu gru go goi
十个字	srp go zi
十角形	srp gok yij
十干	srp gon
十几个月	srp gei go yvt
