一下	yi xx
荒地	hl di
荒山	hl uj
荔枝	li vi
荜菝	bi ba
荡失路	dh ui lu
荡涤	dh di
荣军	rs jy
荣誉奖	rs yu jl
荣誉感	rs yu gj
荣誉章	rs yu vh
荣辱	rs ru
荧光灯	yk gl dg
荫凉	yb ll
药典	yc dm
药到病除	yc dc bk iu
药学	yc xt
药店	yc dm
药房	yc fh
药材铺	yc cd pu
药理	yc li
药用	yc ys
药膳	yc uj
荸荠	bi qi
荼蘼	tu mi
莙荙	jy da
莨菪	lh dh
莨菪	ll dh
莪术	ee vu
莪蒿	ee hc
莫扎特	mo va te
莫明其妙	mo mk qi mn
莫桑比克	mo sh bi ke
莫衷一是	mo vs yi ui
莱卡	ld ka
莱卡	ld qx
莱菔	ld fu
莲叶满池	lm xp mj ii
莲叶满池	lm ye mj ii
莲子	lm zi
莲子蓉面口	lm zi rs mm kz
莳萝	ui lo
获释	ho ui
菁菁	jk jk
菌种	jy vs
菖蒲	ih pu
菜园	cd yr
菜园子	cd yr zi
菜市场	cd ui ih
菜栏	cd lj
菜窖	cd jn
菜篮子	cd lj zi
菜脯	cd fu
菜脯	cd pu
菜花	cd hx
菜蔬	cd uu
菜薳	cd ww
菜薳	cd yr
菝葜	ba qx
菠萝盖	bo lo gd
菡萏	hj dj
菥蓂	xi mk
菩提树	pu ti uu
菩萨低眉	pu sa di mw
菲薄	fw bo
萆薢	bi xp
萌动	mg ds
萑苇	hr ww
萤火虫	yk ho is
营业员	yk ye yr
营业所	yk ye so
营业税	yk ye uv
营业额	yk ye ee
营养品	yk yh pb
营养素	yk yh su
营利	yk li
营区	yk qu
营口	yk kz
营垒	yk lw
营建	yk jm
营收	yk uz
营生	yk ug
萧山	xn uj
萧萧	xn xn
萨拉热窝	sa la re wo
萨法	sa fa
萨特	sa te
萨达姆	sa da mu
落口供	la kz gs
落口供	lc kz gs
落口供	lo kz gs
落堂	la th
落堂	lc th
落堂	lo th
落妆	la vl
落妆	lc vl
落妆	lo vl
落客	la ke
落客	lc ke
落客	lo ke
落手落脚	la uz la jn
落手落脚	la uz lc jn
落手落脚	la uz lo jn
落手落脚	lc uz la jn
落手落脚	lc uz lc jn
落手落脚	lc uz lo jn
落手落脚	lo uz la jn
落手落脚	lo uz lc jn
落手落脚	lo uz lo jn
落拓	lo to
落晒形	la ud xk
落晒形	lc ud xk
落晒形	lo ud xk
落格	la ge
落格	lc ge
落格	lo ge
落泊	lo bo
落画	la hx
落画	lc hx
落画	lo hx
落膈	la ge
落膈	lc ge
落膈	lo ge
落落难合	la la nj ge
落落难合	la la nj he
落落难合	la lc nj ge
落落难合	la lc nj he
落落难合	la lo nj ge
落落难合	la lo nj he
落落难合	lc la nj ge
落落难合	lc la nj he
落落难合	lc lc nj ge
落落难合	lc lc nj he
落落难合	lc lo nj ge
落落难合	lc lo nj he
落落难合	lo la nj ge
落落难合	lo la nj he
落落难合	lo lc nj ge
落落难合	lo lc nj he
落落难合	lo lo nj ge
落落难合	lo lo nj he
落货	la ho
落货	lc ho
落货	lo ho
落选	lo xr
落雨收柴	la yu uz id
落雨收柴	lc yu uz id
落雨收柴	lo yu uz id
落面	la mm
落面	lc mm
落面	lo mm
落马	lo ma
著书	ve uu
著书	vu uu
著作权	vu zo qr
著录	vu lu
著文	ve wf
著文	vu wf
著者	vu ve
著述	vu uu
葛洲坝	ge vz ba
葡萄干	pu tc gj
葡萄酒	pu tc jq
董事会	ds ui hv
董事长	ds ui vh
董仲舒	ds vs uu
葭莩	jx fu
葱头	cs tz
葳蕤	ww rv
葶苈	tk li
蒋介石	jl jp dj
蒋介石	jl jp ui
蒙住	mg vu
蒙古包	mg gu bc
蒙古族	mg gu zu
蒙头转向	mg tz vr xl
蒙查查	mg ia ia
蒙牛	mg nq
蒙蒙	mg mg
蒙蒙亮	mg mg ll
蒙难	mg nj
蒜子	sr zi
蒲公英	pu gs yk
蒲卢	pu lu
蒲葵	pu kv
蒲飞	pu fw
蒸气	vg qi
蒸汽	vg qi
蒸汽机	vg qi ji
蒸馏水	vg lq uv
蒹葭	jm jx
蒺藜	ji li
蓁艽	vf jn
蓁艽	vf qq
蓁蓁	vf vf
蓄水池	xu uv ii
蓄电池	xu dm ii
蓄积	xu ji
蓇葖	gu tu
蓉蓉烂烂	rs rs lj lj
蓊郁	wg yu
蓑衣	so yi
蓓蕾	bw lw
蓖麻	bi ma
蓝宝石	lj bc ui
蓝布	lj bu
蓝帽子	lj mc zi
蓝皮书	lj pi uu
蓝藻	lj zc
蓝调	lj dn
蓝调	lj tn
蓦地	mo di
蓬蓬勃勃	pg pg bo bo
蔓菁	mj jk
蔗农	ve ns
蔚为壮观	ww ww vl gr
蔚为大观	ww ww da gr
蔚成风气	ww ig fg qi
蔚蓝色	ww lj se
蔫韧	nm rf
蕙心纨质	hv xb wj vi
蕞尔	zv er
蕴涵	yy hj
蕴藉	yy jp
薄利	bo li
薄地	bo di
薄幸	bo xk
薄片	bc pm
薄薄	bc bc
薄雾	bc wu
薄雾	bo wu
薏苡	yi yi
薜荔	bi li
薪俸税	xb fg uv
薯头	uu tz
薯类	uu lw
薯蓣	uu yu
薿薿	ni ni
藏历	zh li
蘅芜	hg wu
蘑菇云	mo gu yy
蘼芜	mi wu
虎口	hu kz
虎威	hu ww
虎子	hu zi
虎落平阳	hu la pk yh
虎落平阳	hu lc pk yh
虎落平阳	hu lo pk yh
虚惊	xu jk
虚高	xu gc
虫害	is hd
虫灾	is zd
虱乸	ui na
虱子	ui zi
虺虺	hv hv
虾仁	xx rf
虾毛	xx mc
虾虾霸霸	xx xx ba ba
虾辘	xx lu
蚊到瞓啦	wf dc ff la
蚊到瞓啦	wf dc xy la
蚊子	wf zi
蚍蜉	pi fu
蚕丝	cj si
蚕茧	cj jm
蚰蜒	yz yj
蚴虬	yz qq
蛀米大虫	vu mi da is
蛀米大虫	vu mi dd is
蛇头	ue tz
蛇蝎心肠	ue xp xb ih
蛇都死	ue du si
蛇都死	ue dz si
蛋散	dj sj
蛐蟮	qu uj
蛙人	wa rf
蛛网	vu wh
蛤乸	ge na
蛤乸	ha na
蛤蜊	ge li
蛴螬	qi cc
蜂星	fg xk
蜂王浆	fg wh jl
蜂窝煤	fg wo mw
蜈蚣	wu gs
蜉蝣	fu yz
蜎蜎	yr yr
蜕化	tv hx
蜗螺	wo lo
蜚声	fw ug
蜚蠊	fw lm
蜞乸	qi na
蜡梅	la mw
蜡青	la qk
蜥蜴	xi yi
蜾蠃	go lo
蜿蜒	wj yj
蝇头微利	yk tz ww li
蝉连	ij lm
蝎子	xp zi
蝗灾	hl zd
蝤蛑	qq mz
蝤蛴	qq qi
蝾螈	rs yr
螟蛉	mk lk
螳臂挡车	th bi dh ie
螳臂挡车	th bi dh ju
螳臂挡车	th bw dh ie
螳臂挡车	th bw dh ju
螳螂捕蝉黄雀在后	th lh bu ij hl qt zd hz
螵蛸	pn xn
螺丝批	lo si pi
螺丝钉	lo si dk
螺旋桨	lo xr jl
螺栓	lo ur
螺蛳	lo si
蟏蛸	xn xn
蟛蜞	pg qi
蟾宫折挂	ij gs ue gx
蟾宫折挂	ij gs ve gx
蟾蜍	ij iu
蠛蠓	mp mg
蠢笨如猪	iy bf ru vu
蠼螋	qu sz
血压计	xt ya ji
血吸虫	xt xi is
血性	xt xk
血流成河	xt lq ig he
血淋淋	xp lb lb
血红蛋白	xt hs dj bd
血缘	xt yr
血肉相连	xt rz xl lm
行不更名坐不改姓	hh bu gg mk zo bu gd xk
行不更名坐不改姓	xk bu gg mk zo bu gd xk
行不由径	hh bu yz jk
行不由径	xk bu yz jk
行事	xk ui
行会	hh hv
行使	xk ui
行咇	hh bi
行咇	xk bi
行埋	hh md
行埋	hh mj
行埋	xk md
行埋	xk mj
行山径	hh uj jk
行山径	xk uj jk
行差踏错	hh ci ta co
行差踏错	hh ia ta co
行差踏错	hh id ta co
行差踏错	xk ci ta co
行差踏错	xk ia ta co
行差踏错	xk id ta co
行径	xk jk
行必果	xk bi go
行政区	xk vg qu
行政村	xk vg cy
行政院	hh vg yr
行政院	xk vg yr
行星	xk xk
行程	xk ig
行署	xk uu
行行企企	hh hh qi qi
行行企企	hh xk qi qi
行行企企	xk hh qi qi
行行企企	xk xk qi qi
行装	xk vl
行路唔带眼	hh lu wu dd yj
行路唔带眼	xk lu wu dd yj
行雷	hh lw
行雷	xk lw
行驶	xk ui
衍生物	yj ug wu
街区	jp qu
街喉	jp hz
街坊	jp fh
街头巷议	jp tz hh yi
街头巷议	jp tz xl yi
街市	jp ui
街症	jp vg
街线	jp xm
街道	jp dc
街面	jp mm
衡器	hg qi
衣兜	yi dz
衣冠	yi gr
衣料	yi ln
衣架	yi jx
衣物	yi wu
衣衫	yi uj
衣袋	yi dd
衣裳	yi uh
衣襟	yi jb
衣角	yi jn
补习	bu xi
补习班	bu xi bj
补发	bu fa
补差	bu ia
补救	bu jq
补给	bu ji
补缺	bu qt
补药	bu yc
补血	bu xt
补课	bu ke
补足	bu zu
表决权	bn jt qr
表哥	bn ge
表弟	bn di
表征	bn vg
表演唱	bn yj ih
表肉	bn rz
表里不一	bn li bu yi
表面化	bn mm hx
衫钮	uj nq
衬里	if li
衰变	uk bm
衰咗	uk zo
衰女	uk nv
衰衰地	uk uk de
衰衰地	uk uk di
衷心	vs xb
衷情	vs qk
衷肠	vs ih
袅袅瘦瘦	nn nn uz uz
袋袋平安	dd dd pk an
袒露	tj lu
袖手傍观	xq uz bh gr
被俘	bw fu
被压迫	bw ya pd
被压迫	bw ya po
被压迫	pi ya pd
被压迫	pi ya po
被告人	bw gc rf
被害	bw hd
被害人	bw hd rf
被害者	bw hd ve
被捕	bw bu
被服	bw fu
被窦	bw dz
被窦	pi dz
被选举权	bw xr ju qr
裁剪	cd jm
裁缝	cd fg
裂化	lp hx
裂谷	lp gu
裂隙	lp xi
装假狗	vl jx gz
装弹弓	vl dj gs
装弹弓	vl tj gs
装机	vl ji
装璜	vl hl
装甲	vl jx
装甲兵	vl jx bk
装甲车	vl jx ie
装船	vl ir
装车	vl ie
装配线	vl pw xm
装饰品	vl ui pb
装香	vl xl
裙脚仔	qy jn zd
裙脚仔	qy jn zi
裙装	qy vl
裙褂	qy gx
裣衽	lm rf
裤头带	ku tz dd
裸戏	lo xi
裹蒸粽	go vg zs
褒善贬恶	bc uj bm ee
褒善贬恶	bc uj bm wu
褒扬	bc yh
褓姆车	bc mu ie
褓姆车	bc mu ju
褡裢	da lm
褥疮	ru il
褪軚	tv td
褪軚	ty td
襁袍	ql pc
襁褓	ql bc
襄樊	xl fj
襄阳	xl yh
西化	xi hx
西北风	xi bw fg
西半球	xi bj qq
西南风	xi nj fg
西城	xi ig
西头	xi tz
西学	xi xt
西式	xi ui
西文	xi wf
西方人	xi fh rf
西施	xi ui
西服	xi fu
西汉	xi hj
西沙	xi ua
西洋	xi yh
西洋参	xi yh uf
西洋菜	xi yh cd
西端	xi dr
西经	xi jk
西装友	xi vl yz
西陆	xi lq
西陆	xi lu
西雅图	xi ya tu
西非	xi fw
要义	yc yi
要事	yc ui
要件	yc jm
要冲	yc is
要务	yc wu
要员	yc yr
要旨	yc vi
要目	yc mu
要饭	yc fj
覆盖率	fu gd lv
见习	jm xi
见利思义	jm li si yi
见危授命	jm ww uz mk
见地	jm di
见得	jm de
见怪不怪	jm gk bu gk
见报	jm bc
见效	jm xn
见步行步	jm bu hh bu
见步行步	jm bu xk bu
见牙唔见眼	jm ya wu jm yj
见状	jm vl
见见	jm jm
见解	jm jp
见识	jm ui
见长	jm ih
见长	jm vh
见面礼	jm mm li
观众席	gr vs xi
观察力	gr ia li
观察员	gr ia yr
观察家	gr ia jx
观战	gr vj
观瞻	gr vj
观礼	gr li
观者如云	gr ve ru yy
观音兵	gr yb bk
规例	gv li
规律性	gv lv xk
规程	gv ig
规章制度	gv vh vi du
规行矩步	gv xk ju bu
规规矩矩	gv gv ju ju
觅食	mi ui
视为	ui ww
视入草芥	ui ru cc jp
视力	ui li
视图	ui tu
视点	ui dm
视线	ui xm
视网膜	ui wh mo
视野	ui ye
觉眼	jn yj
觉眼	jt yj
觉觉猪	jn jn vu
觉觉猪	jn jt vu
觉觉猪	jt jn vu
觉觉猪	jt jt vu
觊觎	ji yu
角落头	jn la tz
角落头	jn lc tz
角落头	jn lo tz
角落头	jt la tz
角落头	jt lc tz
角落头	jt lo tz
角钢	jn gh
解体	jp ti
解开	jp kd
解忧	jp yz
解放区	jp fh qu
解放后	jp fh hz
解放战争	jp fh vj vg
解数	xp uu
解构	jp gz
解毒	jp du
解渴	jp ke
解禁	jp jb
解衣推食	jp yi tv ui
解说词	jp uo ci
解调	jp tn
解除	jp iu
解难	jp nj
触动	iu ds
触及	iu ji
触发	iu fa
触媒	iu mw
触礁	iu jn
觱篥	bi li
觳觫	hu su
言和	yj he
言必信	yj bi xb
言必信行必果	yj bi xb hh bi go
言必信行必果	yj bi xb xk bi go
言必有据	yj bi yz ju
言教	yj jn
言词	yj ci
誓师	ui ui
誓死	ui si
誓言	ui yj
誓词	ui ci
警力	jk li
警卫员	jk ww yr
警句	jk ju
警备区	jk bw qu
警察局	jk ia ju
警戒	jk jp
警戒线	jk jp xm
警报器	jk bc qi
警服	jk fu
警种	jk vs
警笛	jk di
警醒	jk xk
计仔	ji zd
计仔	ji zi
计分	ji ff
计划性	ji hx xk
计划生育	ji hx ug yu
计委	ji ww
计数	ji uu
计时	ji ui
计酬	ji iz
计量	ji ll
订户	dk hu
讣告	fu gc
认亲认戚	rf qb rf qi
认亲认戚	rf qk rf qi
认低威	rf di ww
认住	rf vu
认叻	rf le
认清	rf qk
认知	rf vi
认认真真	rf rf vf vf
认识论	rf ui ly
讥笑	ji xn
讨嫌	tc xm
讨饭	tc fj
训令	xy lk
训练场	xy lm ih
训练有素	xy lm yz su
训练班	xy lm bj
训诫	xy jp
议事	yi ui
议价	yi jx
议会制	yi hv vi
议员	yi yr
议和	yi he
议定	yi dk
议定书	yi dk uu
议席	yi xi
议政	yi vg
议长	yi vh
议院	yi yr
议题	yi ti
讯问	xy wf
记事	ji ui
记分	ji ff
记功	ji gs
记取	ji qu
记叙	ji xu
记叙文	ji xu wf
记忆力	ji yi li
记性	ji xk
记要	ji yc
记账	ji vh
记述	ji uu
讲义	jl yi
讲信修睦	jl xb xq mu
讲堂	jl th
讲大话	jl da hx
讲大话	jl dd hx
讲学	jl xt
讲师	jl ui
讲开又讲	jl kd yz jl
讲打讲杀	jl da jl ua
讲理	jl li
讲耶稣	jl ye su
讲解员	jl jp yr
许可证	xu ke vg
许许多多	xu xu do do
论处	ly iu
论文集	ly wf ji
论理	ly li
讻讻	xs xs
讽一劝百	fg yi qr bd
设伏	ue fu
设计师	ue ji ui
设计者	ue ji ve
设计院	ue ji yr
证实	vg ui
证明书	vg mk uu
证章	vg vh
证言	vg yj
评为	pk ww
评介	pk jp
评剧	pk ju
评功	pk gs
评头品足	pk tz pb zu
评头论足	pk tz ly zu
评委会	pk ww hv
评弹	pk tj
评比	pk bi
评论员	pk ly yr
评话	pk hx
识字	ui zi
识捞	ui lc
识捞	vi lc
识饮识食	ui yb ui si
识饮识食	ui yb ui ui
识饮识食	ui yb ui yi
识饮识食	ui yb vi si
识饮识食	ui yb vi ui
识饮识食	ui yb vi yi
识饮识食	vi yb ui si
识饮识食	vi yb ui ui
识饮识食	vi yb ui yi
识饮识食	vi yb vi si
识饮识食	vi yb vi ui
识饮识食	vi yb vi yi
诈假意	va jx yi
诈傻扮懵	va ua bj mg
诈嗲	va dx
诈型	va xk
诈娇	va jn
诈糊	va hu
诈谛	va di
诉状	su vl
诉讼法	su ss fa
诉诸武力	su vu wu li
诊室	vf ui
诊治	vf vi
词人	ci rf
词句	ci ju
词曲	ci qu
词牌	ci pd
译丛	yi cs
译作	yi zo
译制	yi vi
译文	yi wf
译本	yi bf
译著	yi vu
试制	ui vi
试剂	ui ji
试办	ui bj
试听	ui tk
试想	ui xl
试映	ui yk
试用	ui ys
试用期	ui ys qi
试看	ui kj
试种	ui vs
试管	ui gr
试行	ui xk
试试看	ui ui kj
试金石	ui jb ui
试销	ui xn
试问	ui wf
试题	ui ti
试飞	ui fw
试验田	ui yj tm
诖误	gx wu
诗体	ui ti
诗作	ui zo
诗圣	ui ug
诗坛	ui tj
诗意	ui yi
诗文	ui wf
诗经	ui jk
诗话	ui hx
诗集	ui ji
诘诎	ji qu
诘诎	jp qu
诚信	ig xb
诚实	ig ui
诚挚	ig vi
诚聘	ig pb
诚邀	ig yc
诛杀	vu ua
话之佢	hx vi ko
话之佢	hx vi qu
话剧团	hx ju tr
话务员	hx wu yr
话匣子	hx xx zi
话口未完	hx kz ww wj
话名	hx mk
话咁易	hx gj yi
话唔埋	hx wu md
话唔埋	hx wu mj
话唔定	hx wu dk
话头	hx tz
话头醒尾	hx tz xk ww
话斋	hx vd
话时话	hx ui hx
话茬	hx ia
话费	hx fw
诟詈	gz li
诠释	qr ui
诤友	vg yz
诤言	vg yj
该煨	gd ww
详实	xl ui
详尽	xl jb
详解	xl jp
诧异	ia yi
诬陷	wu xm
语义	yu yi
语境	yu jk
语意	yu yi
语文课	yu wf ke
语气	yu qi
语汇	yu hv
语系	yu xi
语词	yu ci
误事	wu ui
误导	wu dc
误时	wu ui
误点	wu dm
误用	wu ys
误食	wu ui
诱使	yz ui
诱因	yz yb
诱杀	yz ua
说不上	uo bu uh
说到底	uo dc di
说和	uo he
说大话	uo da hx
说时迟	uo ui ii
说是	uo ui
说服力	uo fu li
说空话	uo ks hx
说说笑笑	uo uo xn xn
说说笑笑	uo uv xn xn
说说笑笑	uo yt xn xn
说说笑笑	uv uo xn xn
说说笑笑	uv uv xn xn
说说笑笑	uv yt xn xn
说说笑笑	yt uo xn xn
说说笑笑	yt uv xn xn
说说笑笑	yt yt xn xn
说长道短	uo ih dc dr
请便	qk bm
请功	qk gs
请愿	qk yr
请战	qk vj
请鎗	qk ql
请饮	qk yb
诸位	vu ww
诸如	vu ru
诸葛亮	vu ge ll
读书人	du uu rf
读后感	du hz gj
课件	ke jm
课余	ke yu
课时	ke ui
课目	ke mu
课间	ke jm
谁不知	uv bu vi
谁不知	uw bu vi
谁料	uv ln
谁料	uw ln
谂头	uf tz
谂缩数	uf so uu
调令	dn lk
调头	dn tz
调幅	tn fu
调控	tn ks
调节器	tn jp qi
调解	tn jp
调资	tn zi
调车	dn ie
调车	dn ju
调车	tn ie
调车	tn ju
调转	dn vr
调转头	dn vr tz
调转头	tn vr tz
调运	dn yy
谄谀	ij yu
谆谆	vy vy
谆谆告诫	vy vy gc jp
谆谆教导	vy vy jn dc
谈兴	tj xk
谈吐	tj tu
谈天说地	tj tm uo di
谈心	tj xb
谈笑	tj xn
谈虎色变	tj hu se bm
谈起	tj qi
谋取	mz qu
谐和	xp he
谐调	xp tn
谗谀	ij yu
谚语	yj yu
谡谡	su su
谢意	xp yi
谦让末遑	qm rh mo hl
谨言慎行	jb yj uf xk
谮气	zf qi
谰叻	lj le
谰正经	lj vg jk
谷地	gu di
谷气	gu qi
谷物	gu wu
谷雨	gu yu
豁亮	ho ll
豁口	ho kz
豁达大度	ho da da du
豆丁	dz dk
豆制品	dz vi pb
豆汁	dz vi
豆沙喉	dz ua hz
豆油	dz yz
豆科	dz ke
豆荚	dz jx
豆饼	dz bk
豉汁	ii vi
象样	xl yh
象牙之塔	xl ya vi ta
豪气	hc qi
豪赌	hc du
豫剧	yu ju
豹子	bc zi
豺狐之心	id hu vi xb
豺狼成性	id lh ig xk
贝利	bw li
贝塔斯曼	bw ta si mj
贝多芬	bw do ff
负于	fu yu
负债累累	fu vd lw lw
负数	fu uu
负有	fu yz
负气	fu qi
负荷	fu he
负重	fu vs
财产权	cd ij qr
财季	cd ji
财报	cd bc
财政厅	cd vg tk
财政部	cd vg bu
财权	cd qr
财源	cd yr
财物	cd wu
财神爷	cd uf ye
责任制	ze rf vi
责任心	ze rf xb
责任田	ze rf tm
责编	ze bm
贤人	xm rf
贤哲	xm ve
贤慧	xm hv
贤达	xm da
败北	bd bw
败者	bd ve
败血症	bd xt vg
败露	bd lu
货价	ho jx
货场	ho ih
货机	ho ji
货畅其流	ho ih qi lq
货车	ho ie
货郎	ho lh
质保	vi bc
质子	vi zi
质朴无华	vi pu wu hx
质检	vi jm
贪口爽	tj kz ul
贪大求全	tj da qq qr
贪大求洋	tj da qq yh
贪得意	tj de yi
贪得意	tj dw yi
贪污受贿	tj wu uz hv
贪污犯	tj wu fj
贫困户	pb ky hu
贫困线	pb ky xm
贫弱	pb ro
贫民窟	pb mb ku
贫贱不移	pb jm bu yi
贬义	bm yi
贬值	bm vi
购买力	gz md li
购价	gz jx
购机	gz ji
贮备	vu bw
贮运	vu yy
贯串	gr ir
贲门	bf mf
贴堂	tp th
贴心人	tp xb rf
贴画	tp hx
贴金	tp jb
贴钱买难受	tp qm md nj uz
贴错门神	tp co mf uf
贵国	gv go
贵州省	gv vz ug
贵金属	gv jb uu
贵阳市	gv yh ui
贸促会	mc cu hv
贸易额	mc yi ee
费事	fw ui
费事理	fw ui li
费工	fw gs
贺信	he xb
贺函	he hj
贺年	he nm
贺年片	he nm pm
贺电	he dm
贺礼	he li
贺辞	he ci
贻误	yi wu
贼佬	zw lc
贼佬试沙煲	zw lc ui ua bc
资力	zi li
资助	zi vu
资历	zi li
资本论	zi bf ly
资财	zi cd
赊数	ue uu
赌具	du ju
赎买	uu md
赎罪	uu zv
赏识	uh ui
赏赐	uh ci
赑屃	bi xi
赖死	ld si
赖猫	ld mc
赘述	vv uu
赚头	vr tz
赛迪	sd di
赛门铁克	sd mf tp ke
赞语	zj yu
赞谈不已	zj tj bu yi
赠书	zg uu
赠款	zg kr
赡养	uj yh
赢余	yk yu
赢利	yk li
赢取	yk qu
赢政	yk vg
赤卫队	ii ww dv
赤口	ii kz
赤子	ii zi
赤子之心	ii zi vi xb
赤峰	ii fg
赤心报国	ii xb bc go
赤心相待	ii xb xl dd
赤日炎炎	ii ri yj yj
赤诚	ii ig
赤贫	ii pb
赤道	ii dc
赫哲族	he ve zu
赫德	he de
赫赫	he he
赫鲁晓夫	he lu xn fu
走下坡路	zz xx po lu
走埠	zz bu
走堂	zz th
走失	zz ui
走夹唔唞	zz ga wu dz
走夹唔唞	zz ga wu tc
走夹唔唞	zz jx wu dz
走夹唔唞	zz jx wu tc
走宝	zz bc
走法律罅	zz fa lv xx
走盏	zz vj
走私犯	zz si fj
走精面	zz jk mm
走资派	zz zi pd
走趯	zz ti
走趯	zz yt
走近	zz jb
走道	zz dc
走难	zz nj
走露	zz lu
走露	zz lz
走马看花	zz ma kj hx
走鬼	zz gv
赴美	fu mw
赵体	vc ti
赵孟頫	vc mg fu
赶到	gj dc
赶唔切	gj wu qp
赶时髦	gj ui mc
赶路	gj lu
赶集	gj ji
赶鸭仔	gj ya zd
赶鸭仔	gj ya zi
起义	qi yi
起义军	qi yi jy
起事	qi ui
起价	qi jx
起伏	qi fu
起先	qi xm
起动	qi ds
起名	qi mk
起始	qi ui
起居	qi ju
起底	qi di
起开	qi kd
起早摸黑	qi zc mo hw
起火	qi ho
起用	qi ys
起程	qi ig
起筷	qi kk
起色	qi se
起落架	qi lc jx
起落架	qi lo jx
起见	qi jm
起跑	qi pc
起跑线	qi pc xm
起运	qi yy
起重	qi vs
起镬	qi ho
起飞脚	qi fw jn
起鸡皮	qi ji pi
趁势	if ui
趁墟	if xu
超产	ic ij
超低温	ic di wf
超低空	ic di ks
超值	ic vi
超声	ic ug
超声波	ic ug bo
超导体	ic dc ti
超尘拔俗	ic if ba su
超市	ic ui
超新星	ic xb xk
超期	ic qi
超然物外	ic rj wu wd
超级大国	ic ji da go
超音速	ic yb su
超高	ic gc
越剧	yt ju
越境	yt jk
越是	yt ui
越狱	yt yu
越界	yt jp
越级	yt ji
趋于	qu yu
趋向	qu xl
趑趄	zi ju
趣事	qu ui
足下	zu xx
足球队	zu qq dv
跃破	yt po
跃跃欲试	yt yt yu ui
跃进	yt jb
跋山涉水	ba uj ue uv
跌涨	dp vh
跏趺	jx fu
跑官	pc gr
跛脚佬	bo jn lc
跟头	gf tz
跟尾狗	gf ww gz
跟手尾	gf uz ww
跟红顶白	gf hs dk bd
跨上	kx uh
跨国	kx go
跨年度	kx nm du
跪倒	gv dc
路卡	lu ka
路卡	lu qx
路基	lu ji
路见不平拔刀相助	lu jm bu pk ba dc xl vu
路透社	lu tz ue
路风	lu fg
跳楼货	tn lz ho
跳皮	tn pi
跳糟	tn zc
跳马	tn ma
跷妙	qn mn
跷蹊	qn qi
跼蹐	ju ji
踌躇	iz iu
踎厕	bw ce
踎厕	bw si
踎街	bw jp
踟蹰	ii iu
踩低	cd di
踩单车	cd dj ie
踩单车	cd dj ju
踩单车	cd ij ie
踩单车	cd ij ju
踩单车	cd uj ie
踩单车	cd uj ju
踩场	cd ih
踩死蚁	cd si yi
踩界	cd jp
踩蕉皮	cd jn pi
踩过界	cd go jp
踩雪屐	cd xt ji
踪迹	zs ji
踯躅	vi vu
踽踽	ju ju
蹀躞	dp xp
蹈节死义	dc jp si yi
蹊径	xi jk
蹭蹬	cg dg
蹼泳	pu ys
身世	uf ui
身亡	uf wh
身兴	uf xk
身分	uf ff
身受	uf uz
身后	uf hz
身姿	uf zi
身孕	uf yy
身家	uf jx
身手	uf uz
身教	uf jn
身水身汗	uf uv uf hj
身纪	uf ji
身长	uf ih
躯干	qu gj
躲躲闪闪	do do uj uj
车体	ie ti
车厘子	ie li zi
车厘子	ju li zi
车叶	ie xp
车叶	ie ye
车叶	ju xp
车叶	ju ye
车头相	ie tz xl
车头相	ju tz xl
车尾箱	ie ww xl
车尾箱	ju ww xl
车床	ie il
车房仔	ie fh zd
车房仔	ie fh zi
车房仔	ju fh zd
车房仔	ju fh zi
车皮	ie pi
车组	ie zu
车衫	ie uj
车衫	ju uj
车軚	ie td
车軚	ju td
车辘	ie lu
车辘	ju lu
车辙	ie ve
轧制	ya vi
轧辊	va gy
轩轾	xr vi
转下眼	vr xx yj
转业	vr ye
转会	vr hv
转体	vr ti
转卖	vr md
转向	vr xl
转呔	vr dd
转呔	vr td
转售	vr uz
转嫁	vr jx
转干	vr gj
转性	vr xk
转战南北	vr vj nj bw
转投	vr tz
转机	vr ji
转来转去	vr ld vr qu
转正	vr vg
转炉	vr lu
转用	vr ys
转瞬间	vr uy jm
转网	vr wh
转赠	vr zg
转车	vr ie
转轪	vr dd
转运站	vr yy vj
转述	vr uu
轮更	ly gg
轮渡	ly du
轮训	ly xy
软弱无力	rr ro wu li
软熟	rr uu
软熟	rr uz
软皮蛇	rr pi ue
软着陆	rr vo lu
软荏荏	rr rf rf
软银	rr yb
轰击	hs ji
轰动一时	hs ds yi ui
轰响	hs xl
轰炸机	hs va ji
轻信	qk xb
轻取	qk qu
轻型	qk xk
轻如鸿毛	qk ru hs mc
轻工业	qk gs ye
轻武器	qk wu qi
轻生	qk ug
轻纺	qk fh
轻视	qk ui
轻财好施	qk cd hc ui
轻音乐	qk yb yt
轻风	qk fg
轻骑	qk qi
载人	zd rf
载货	zd ho
载酒问字	zd jq wf zi
轿夫	jn fu
轿子	jn zi
较之	jn vi
较差	jn ia
辅导员	fu dc yr
辈出	bw iu
辈分	bw ff
辉映	hv yk
辑录	ji lu
输卵管	uu lr gr
输家	uu jx
输油管	uu yz gr
输液	uu ye
输电	uu dm
输电线	uu dm xm
输血	uu xt
输赌	uu du
辖区	xx qu
辘卡	lu ka
辘卡	lu qx
辘轳	lu lu
辛丑	xb iz
辛亥	xb hd
辛卯	xb mc
辛巳	xb si
辛未	xb ww
辛酉	xb yz
辞不达意	ci bu da yi
辞书	ci uu
辞典	ci dm
辞行	ci xk
辟易	bi yi
辟易	pi yi
