新闻	srnmrn#序20000
华商	wasxj
华商	hujsxj
学完	hokyvn
辽宁省	liunijsaj
辽宁省	liunijsij
电子报	dinzibou
但最	danzxi
小街	siugai
但有	danyru
定本	dijbun
就不能	zrubrtnrj
之王	ziwoj
壮志凌云	zojzilijwrn
八面玲珑	batminlijluj
科学主义	fohokzvyi
总公司	zujgujsi
三段	samdvn
从略	cujlxk
从略	sujlxk
说实话	sxisrtwa
说实话	svtsrtwa
不可否认	brthofruyij
之势	zisri
但仍	danyij
作梦	zokmuj
第六届	drilukgai
能将	nrjzxj
说得	sxidrk
说得	svtdrk
之力	zilik
路段	loudvn
除此	cxici
谈笑风生	tamsiufujsrj
谈笑风生	tamsiufujsaj
风中	fujzuj
一暴十寒	yrtbuksrphon
一暴十寒	yrtbousrphon
形同虚设	yijtujhxicit
吉林省	grtlrmsaj
吉林省	grtlrmsij
时宜	siyi
桌上	zxksxj
桌上	cxksxj
国庆节	iokhijzit
春秋鼎盛	cxncrudijsij
这点	zedim
家有	gayru
优育	yruyuk
书屋	svuk
我想	josxj
烟波浩渺	yinbohoumiu
强有力	kxjyrulik
程序员	cijzxiwrn
程序员	cijzxiyvn
全攻略	cvngujlxk
看着	honzv
看着	honzxk
七年	crtnin
每页	muiyip
书号	svhou
血雨腥风	hvtyvsijfuj
血雨腥风	hvtyvsejfuj
水流湍急	sxilrutxngrp
少了	siuliu
我军	joirn
就是说	zrusisxi
就是说	zrusisvt
爱好者	joihouze
爱好者	oihouze
抱着	pouzv
抱着	pouzxk
游人	yruyrn
盲人摸象	majyrnmokzxj
盲人摸象	majyrnmozxj
理论上	leilxnsxj
为的	wridik
副总	fuzuj
年满	ninmun
不败	brtbai
济济一堂	zrizriyrttoj
重庆市	zujhijsi
重庆市	cujhijsi
杂志社	zapzise
本科生	bunfosrj
本科生	bunfosaj
新东方	srndujfoj
繁花似锦	fanfacigrm
理屈词穷	leiwrtcikuj
电闪雷鸣	dinsimlximij
孙悟空三打白骨精	svnjhujsamdabakirtzej
孙悟空三打白骨精	svnjhujsamdabakirtzij
不负	brtfu
万吨	mandxn
十几年	srpgeinin
四面八方	seiminbatfoj
大获全胜	daiwokcvnsij
大获全胜	daiwaicvnsij
太好	taihou
那一刻	nayrthak
那一刻	nayrthrk
暗夜	rmye
暗夜	jrmye
能动	nrjduj
灌装	gunzoj
倍受	puisru
在建	zoigin
包打听	baudatej
包打听	baudatij
有气无力	yruheimoulik
断了	dvnliu
断了	tvnliu
只争朝夕	zekzajziuzik
只争朝夕	zekzajciuzik
只争朝夕	zekzrjziuzik
只争朝夕	zekzrjciuzik
只争朝夕	zizajziuzik
只争朝夕	zizajciuzik
只争朝夕	zizrjziuzik
只争朝夕	zizrjciuzik
不仁不义	brtyrnbrtyi
绿水青山	luksxicijsan
绿水青山	luksxicejsan
内含	naphrm
内含	noihrm
适配器	sikpuihei
您的	neidik
私有化	siyrufa
省内	sajnap
省内	sajnoi
省内	sijnap
省内	sijnoi
儿戏	yihei
一幅	yrtfuk
记下	geiha
都在	douzoi
豆蔻年华	drukruninfa
豆蔻年华	drukruninwa
豆蔻年华	drukruninhuj
入主	yrpzv
愁眉紧锁	srumeigrnso
客户端	hakwudvn
振振	zrnzrn
很长	hrncxj
很长	hrnzxj
一只	yrtzek
一只	yrtzi
在这里	zoizelei
在这里	zoizelxi
一台	yrttoi
学生会	hoksrjwui
学生会	hoksajwui
你还	neiwan
所在地	sozoidei
又一个	yruyrtgo
很难	hrnnan
只会	zekwui
只会	ziwui
用药	yujyxk
校园网	gauyvnmoj
校园网	hauyvnmoj
不远	brtyvn
谁都	sxidou
推心置腹	txisrmzifuk
京华	gijfa
京华	gijwa
京华	gijhuj
一举两得	yrtgxilxjdrk
多了	doliu
有谁	yrusxi
句话	gxiwa
工作者	gujzokze
约占	yxkzim
开来	hoilri
开来	hoilei
开来	hoiloi
千呼后拥	cinfuhruyuj
千呼后拥	cinfuirnyuj
多人	doyrn
到任	douyrm
侃侃而谈	honhonyitam
栩栩如生	hxihxiyvsrj
栩栩如生	hxihxiyvsaj
作文	zokmrn
收治	sruci
收治	sruzi
并行不悖	bijhajbrtbui
并行不悖	bijhojbrtbui
并行不悖	bijhrjbrtbui
我所	joso
中国队	zujiokdxi
誓死不二	sriseibrtyi
多万	doman
购书	grusv
购书	krusv
融会贯通	yujwuiguntuj
怎么办	zrmyiuban
怎么办	zrmmoban
之心	zisrm
而不	yibrt
只为	zekwri
只为	ziwri
供暖	gujnvn
这项	zehoj
口出不逊	hrucxtbrtsxn
大奖赛	daizxjcoi
对话框	dxiwaqaj
一句话	yrtgxiwa
舍死忘生	seseimojsrj
舍死忘生	seseimojsaj
致辞	zici
都能	dounrj
偃蹇	yingin
动画片	dujwakpin
动画片	dujwapin
选型	svnciu
选型	svnyij
半决赛	bunkvtcoi
走露	zrulou
平易近人	pijyigrnyrn
平易近人	pijyikrnyrn
平易近人	pijyikgrnyrn
平易近人	pijyikkrnyrn
平易近人	pejyigrnyrn
平易近人	pejyikrnyrn
平易近人	pejyikgrnyrn
平易近人	pejyikkrnyrn
别有洞天	bityrudujtin
生产线	srjcansin
生产线	sajcansin
诖误	iaj
天衣无缝	tinyimoufuj
交易会	gauyiwui
交易会	gauyikwui
闪客	simhak
为辅	wrifu
新一代	srnyrtdoi
四个	seigo
预置	yvzi
体虚	trihxi
驾驶员	gasriwrn
驾驶员	gasriyvn
忧心如焚	yrusrmyvfrn
出神入化	cxtsrnyrpfa
那段	nadvn
想方设法	sxjfojcitfat
火车站	fogxizam
火车站	focezam
走遍	zrupin
主教练	zvgaulin
之多	zido
八大	batdai
之夜	ziye
心急如焚	srmgrpyvfrn
急转直下	grpzvnzikha
派息	paisik
派息	pasik
营运	yijwrn
明眸皓齿	mijmruhouci
两全其美	lxjcvnkeimei
毵毵	samsam
西天取经	sritincxigij
白练腾空	baklintrjhuj
恰如其分	hrpyvkeifrn
责任感	zakyrmgrm
丑态百出	crutaibakcxt
灰心丧气	fuisrmsojhei
灰心丧气	fiusrmsojhei
病了	bejliu
病了	bijliu
病了	seiliu
这篇	zepin
鹬蚌相争	nxtpojsxjzaj
鹬蚌相争	nxtpojsxjzrj
鹬蚌相争	wrtpojsxjzaj
鹬蚌相争	wrtpojsxjzrj
进退维谷	yrttxiwriguk
进退维谷	yrttxiwriyuk
进退维谷	zxntxiwriguk
进退维谷	zxntxiwriyuk
让我	yxjjo
后市	hrusi
后市	irnsi
精气	zejhei
精气	zijhei
自考	zihau
寄予	geiyv
肝胆	gondam
举步维艰	gxibouwrigan
商厦	sxjha
论著	lxnzv
琅玕	lojgon
建起	ginhei
情人节	cijyrnzit
管理员	gunleiwrn
管理员	gunleiyvn
水星	sxisij
心路历程	srmloulikcij
之夏	ziha
连篇累牍	linpinlxiduk
生辰八字	srjsrnbatzi
生辰八字	sajsrnbatzi
日程表	yrtcijbiu
忍不住	yrnbrtzv
跑了	pauliu
铁证如山	titzijyvsan
中止	zujzi
东逃西散	dujtousrisan
工作日	gujzokyrt
方可	fojho
之声	zisij
之声	zisej
你说	neisxi
你说	neisvt
和颜悦色	wojanyvtsik
和颜悦色	wujanyvtsik
工具箱	gujkxisxj
工具箱	gujgxisxj
箢箕	wungei
也没	yamut
也没	yamei
我曾	jocrj
我曾	jozrj
政绩	zijzik
弃若敝屐	heiyxkbrikek
支应	ziyij
直击	zikgik
举足轻重	gxizukhijzuj
举足轻重	gxizukhijcuj
举足轻重	gxizukhejzuj
举足轻重	gxizukhejcuj
赛后	coihru
赛后	coiirn
访华	fojfa
访华	fojwa
访华	fojhuj
人才济济	yrncoizrizri
发奋图强	fatfrntoukxj
不让	brtyxj
幼儿园	yruyiyvn
轩然大波	hinyindaibo
务工	mouguj
紫光	ziioj
之所以	zisoyi
年检	ningim
感言	grmyin
俯拾皆市	fusrpgaisi
修定	srudij
选刊	svnhon
冒雨	mouyv
同方	tujfoj
精卫填海	zejwritinhoi
精卫填海	zijwritinhoi
仅有	grnyru
蚰蜒	yruyin
是吗	sima
致词	zici
大中型	daizujciu
大中型	daizujyij
炯炯有神	iijiijyrusrn
开具	hoikxi
开具	hoigxi
更能	grjnrj
更能	gajnrj
附图	futou
车型	gxiciu
车型	gxiyij
车型	ceciu
车型	ceyij
猩猩	sijsij
医学院	yihokyvn
雇请	gucij
雇请	gucej
七天	crttin
朋友们	prjyrumun
平步青云	pijboucijwrn
平步青云	pijboucejwrn
平步青云	pejboucijwrn
平步青云	pejboucejwrn
也给	yakrp
浏览器	lrulamhei
玲珑剔透	lijlujtiktru
三国志	samiokzi
秋色宜人	crusikyiyrn
克里	haklei
克里	haklxi
克里	hrklei
克里	hrklxi
行善积德	hajsinzikdrk
行善积德	hojsinzikdrk
行善积德	hrjsinzikdrk
部优	bouyru
百年好合	bakninhouhrp
百年好合	bakninhougap
本书	bunsv
一支	yrtzi
下设	hacit
银川市	jrncvnsi
忧心忡忡	yrusrmcujcuj
实质性	srtzrtsij
实质性	srtzisij
墨守成规	mrksrusijqri
墨守成规	mrksrusejqri
够了	gruliu
地价	deilok
地价	deiga
喝完	hotyvn
城下之盟	sijhazimrj
城下之盟	sejhazimrj
热辣	yitlat
六个	lukgo
责任制	zakyrmzri
服务器	fukmouhei
有可能	yruhonrj
中上	zujsxj
改制	goizri
浮想联翩	frusxjlvnpin
富于	fuyv
错的	cokdik
错的	codik
一口气	yrthruhei
油腔滑调	yruhojwatdiu
油腔滑调	yruhojwattiu
可为	howri
低成本	drisijbun
低成本	drisejbun
纵横捭阖	zujzvbaihrp
纵横捭阖	zujwajbaihrp
日下	yrtha
两种	lxjzuj
看过	honio
同志们	tujzimun
千军易得	cinirnyidrk
千军易得	cinirnyikdrk
据统计	gxitujgri
损人利己	svnyrnlrigei
损人利己	svnyrnleigei
夜话	yewa
饱经沧桑	baugijcojsoj
最新版	zxisrnban
勤于	krnyv
很可能	hrnhonrj
前车之鉴	cingxizigam
前车之鉴	cincezigam
赤胆忠心	cikdamzujsrm
赤胆忠心	cekdamzujsrm
茹蕙	yvwri
得意忘形	drkyimojyij
旷日持久	qojyrtcigru
搞得	gaudrk
含沙射影	hrmsaseyij
学系	hokhri
六大	lukdai
顽固不化	wangubrtfa
响当当	hxjdojdoj
曾与	crjyv
曾与	zrjyv
可供	hoguj
已达	yidat
已达	yitat
满园春色	munyvncxnsik
全县	cvnyvn
过眼云烟	iojanwrnyin
全社会	cvnsewui
我们要	jomunyiu
中信	zujsxn
心烦意乱	srmfanyilvn
两天	lxjtin
掌上	zxjsxj
第一次	driyrtci
竞拍	gijpak
读了	dukliu
我镇	jozrn
洋洋大观	yxjyxjdaigun
台东	toiduj
收音	sruyrm
实有	srtyru
真实性	zrnsrtsij
孙继仁	svngriyrn
仟眠	cinmin
培训班	puifrnban
各单位	gokdanwri
各单位	goksinwri
服务员	fukmouwrn
服务员	fukmouyvn
一定会	yrtdijwui
正式版	zejsikban
正式版	zijsikban
落落大方	deideidaifoj
落落大方	deilrkdaifoj
落落大方	deilokdaifoj
落落大方	lrkdeidaifoj
落落大方	lrklrkdaifoj
落落大方	lrklokdaifoj
落落大方	lokdeidaifoj
落落大方	loklrkdaifoj
落落大方	loklokdaifoj
新帖	srntip
杀鸡吓猴	satgrihakhru
杀鸡吓猴	satgrihahru
杀鸡吓猴	satgrihrthru
将于	zxjyv
时间表	siganbiu
大肆	daisi
大肆	daisei
点距	dimkxi
万维	manwri
成倍	sijpui
成倍	sejpui
被评为	beipijwri
被评为	peipijwri
泠泠	lijlij
约为	yxkwri
计数器	grisouhei
小泉纯一郎	siucvnsxnyrtloj
兴味盎然	hijmeionyin
兴味盎然	hijmeiojyin
苣荬	gximai
逐级	zukkrp
将与	zxjyv
月内	yvtnap
月内	yvtnoi
这就是	zezrusi
将之	zxjzi
上行下效	sxjhajhahau
上行下效	sxjhojhahau
上行下效	sxjhrjhahau
蓁艽	zxnkru
一点一滴	yrtdimyrtdik
全校	cvngau
全校	cvnhau
专为	zvnwri
海盟山誓	hoimrjsansri
服务商	fukmousxj
奖罚	zxjfrt
财政部	coizijbou
汉化版	honfaban
给她	krpta
电视机	dinsigei
通讯员	tujsxnwrn
通讯员	tujsxnyvn
络绎不绝	lokyikbrtzvt
适于	sikyv
便会	binwui
便会	pinwui
绿肥红瘦	lukfeihujsru
一言九鼎	yrtyingrudij
源源不绝	yvnyvnbrtzvt
精忠报国	zejzujbouiok
精忠报国	zijzujbouiok
志愿者	ziyvnze
很紧	hrngrn
代之	doizi
不定期	brtdijkei
名落孙山	mijdeisvnsan
名落孙山	mijlrksvnsan
名落孙山	mijloksvnsan
名落孙山	mejdeisvnsan
名落孙山	mejlrksvnsan
名落孙山	mejloksvnsan
公了	gujliu
现代化	yindoifa
专集	zvnzap
大快人心	daifaiyrnsrm
深圳市	srmzrnsi
自来水	zilrisxi
自来水	zileisxi
自来水	ziloisxi
想说	sxjsxi
想说	sxjsvt
经委	gijwri
放置	fojzi
夏普	hapou
高山深涧	gousansrmgan
按规定	onqridij
当事人	dojsiyrn
亲爱的	crnjoidik
亲爱的	crnoidik
页次	yipci
芫荽	yvnsxi
莳萝	silo
独具只眼	dukkxizekjan
独具只眼	dukkxizijan
独具只眼	dukgxizekjan
独具只眼	dukgxizijan
从这	cujze
从这	sujze
也将	yazxj
留底	lrudri
极速	gikcuk
这块	zefai
几种	geizuj
三思而后行	samsiyihruhaj
三思而后行	samsiyihruhoj
三思而后行	samsiyihruhrj
三思而后行	samsiyiirnhaj
三思而后行	samsiyiirnhoj
三思而后行	samsiyiirnhrj
几个月	geigoyvt
一九九三	yrtgrugrusam
才是	coisi
游戏机	yruheigei
挑拨离间	tiuputleigan
挑拨离间	tiubutleigan
动植物	dujzikmrt
多项	dohoj
得鱼忘筌	drkyvmojcvn
伤病	sxjbej
伤病	sxjbij
伤病	sxjsei
提高到	trigoudou
破解版	pogaiban
科教文卫	fogaumrnwri
卫生部	wrisrjbou
卫生部	wrisajbou
快译	faiyik
刻录机	haklukgei
刻录机	hrklukgei
不可能	brthonrj
带上	daisxj
房地产	fojdeican
联锁	lvnso
窗外	cxjjoi
起了	heiliu
浩如烟海	houyvyinhoi
腌臜	yimzim
腌臜	yipzim
恩情	yrncij
厂区	cojkxi
便携	binqri
便携	pinqri
世界杯	srigaibui
稿纸	gouzi
难说	nansxi
难说	nansvt
疑似	yici
洗染	sriyim
删了	sanliu
日本语	yrtbunyv
怎么会	zrmyiuwui
怎么会	zrmmowui
露了	louliu
宗教学	zujgauhok
很有	hrnyru
为人民	wriyrnmrn
不了解	brtliugai
闻名遐迩	mrnmijhayi
闻名遐迩	mrnmejhayi
供应商	gujyijsxj
提拨	triput
提拨	tribut
才有	coiyru
也已	yayi
复印机	fukyrngei
蛋白质	danbakzrt
蛋白质	danbakzi
企事业	keisiyip
补办	bouban
邮资	yruzi
风雨无阻	fujyvmouzo
要不要	yiubrtyiu
草草了事	coucouliusi
德甲	drkgap
开幕式	hoimoksik
凿壁偷光	zokbiktruioj
考前	haucin
以示	yisi
主题曲	zvtriguk
主题曲	zvtrikuk
分辨率	frnbinlxt
分辨率	frnbinsxt
也可	yaho
联合国	lvnhrpiok
联合国	lvngapiok
猪八戒大闹高老庄	zvbatgaidainaugoulouzoj
兵不血刃	bijbrthvtyrn
我又	joyru
线程	sincij
万死一生	manseiyrtsrj
万死一生	manseiyrtsaj
国家队	iokgadxi
电影院	dinyijyvn
而非	yifei
之体	zitri
两项	lxjhoj
还会	wanwui
不落窠臼	brtdeiwokru
不落窠臼	brtdeifokru
不落窠臼	brtlrkwokru
不落窠臼	brtlrkfokru
不落窠臼	brtlokwokru
不落窠臼	brtlokfokru
龙马精神	lujmazejsrn
龙马精神	lujmazijsrn
惊惶失措	gejwojsrtcou
惊惶失措	gijwojsrtcou
未卜先知	meibuksinzi
未卜先知	meibuksinkei
未卜先知	meiboksinzi
未卜先知	meiboksinkei
未卜先知	meibaksinzi
未卜先知	meibaksinkei
活捉	wutzuk
申奥	srnou
文质彬彬	mrnzrtbrnbrn
文质彬彬	mrnzibrnbrn
注意到	zvyidou
脱了	tvtliu
脱了	txiliu
倚天	yitin
图书馆	tousvgun
本周	bunzru
人畜	yrncuk
之初	zico
纪录片	geilukpin
招摇撞骗	ziuyiuzojpin
勃然大怒	butyindainou
图论	toulxn
莪术	josxt
毕业于	brtyipyv
利民	lrimrn
利民	leimrn
高质量	gouzrtcuj
高质量	gouzrtlxj
高质量	gouzicuj
高质量	gouzilxj
毛衣	zityi
毛衣	mouyi
此帖	citip
防伪	fojjri
谁说	sxisxi
谁说	sxisvt
不确定	brtkokdij
年时	ninsi
想办法	sxjbanfat
地动山摇	deidujsanyiu
哪种	nazuj
旁若无人	pojyxkmouyrn
发力	fatlik
领导人	lejdouyrn
领导人	lijdouyrn
此文	cimrn
两级	lxjkrp
主旋律	zvsvnlxt
标致	biuzi
本赛季	buncoiiri
许可证	hxihozij
市属	sizuk
市属	sisuk
想过	sxjio
古镇	guzrn
阶段性	gaidvnsij
互联网	wulvnmoj
日暮途穷	yrtmoutoukuj
明知故犯	mijzigufan
明知故犯	mijkeigufan
台北市	toibrksi
如释重负	yvsikzujfu
如释重负	yvsikcujfu
过大	iodai
售后	sruhru
售后	sruirn
藉由	zeyru
藉由	zikyru
车市	gxisi
车市	cesi
下半年	habunnin
收藏夹	sruzojgip
收藏夹	sruzojgep
收藏夹	sruzojgrp
收藏夹	sruzojgap
收藏夹	srucojgip
收藏夹	srucojgep
收藏夹	srucojgrp
收藏夹	srucojgap
多层次	docrjci
树状	svzoj
就有	zruyru
绝大	zvtdai
跳转	tiuzvn
企业家	keiyipga
八一	batyrt
星期一	sijkeiyrt
副教授	fugausru
八个	batgo
管理处	gunleicv
低回	driwui
既往不咎	geiwojbrtgou
既往不咎	geiwojbrtgru
居功自傲	gxigujzijou
跨省	qasaj
跨省	qasij
西餐厅	sricantej
十全十美	srpcvnsrpmei
伊始	yici
吃了	grtliu
吃了	yakliu
吃了	hekliu
凭什么	prjsrpyiu
凭什么	prjsrpmo
凭什么	prjzapyiu
凭什么	prjzapmo
凭什么	prjsrmyiu
凭什么	prjsrmmo
核发	hrtfat
核发	wrtfat
浑然天成	wrnyintinsij
浑然天成	wrnyintinsej
威风凛凛	wrifujlrmlrm
去了	hxiliu
企业版	keiyipban
不畏艰险	brtwriganhim
踉踉跄跄	lxjlxjcxjcxj
风里	fujlei
风里	fujlxi
影响到	yijhxjdou
盒装	hapzoj
盒装	hrpzoj
足彩	zukcoi
代理人	doileiyrn
滴溜	dikliu
滴溜	diklru
如花似玉	yvfaciyuk
太多	taido
打草惊蛇	dacougejse
打草惊蛇	dacougijse
董事长	dujsicxj
董事长	dujsizxj
有效期	yruhaukei
随波逐流	cxibozuklru
搞垮	gauqa
相结合	sxjgithrp
相结合	sxjgitgap
影响力	yijhxjlik
邯郸学步	hondanhokbou
各显	gokhin
进出口	yrtcxthru
进出口	zxncxthru
涕泗	trisi
看不见	honbrtgin
巉岩	canjam
巉岩	camjam
很容易	hrnyujyi
很容易	hrnyujyik
国际化	iokzrifa
一应俱全	yrtyijkxicvn
表现为	biuyinwri
鞠躬尽瘁	gukgujzxnsxi
波澜壮阔	bolanzojfut
不必要	brtbityiu
人欢马叫	yrnfunmagiu
附表	fubiu
确有	kokyru
坚持不懈	gincibrthai
当你	dojnei
河南省	yvnnamsaj
河南省	yvnnamsij
河南省	honamsaj
河南省	honamsij
不高兴	brtgouhij
操作性	couzoksij
舌战群儒	sitzinqrnyv
始于	ciyv
小孩子	siuhaizi
小孩子	siuhoizi
川流不息	cvnlrubrtsik
数千	soucin
金玉满堂	grmyukmuntoj
很想	hrnsxj
厚爱	hrujoi
厚爱	hruoi
泣涕	yrptri
男朋友	namprjyru
樗蒲	svpou
忉忉	doudou
恩重如山	yrnzujyvsan
恩重如山	yrncujyvsan
岛上	dousxj
急于求成	grpyvkrusij
急于求成	grpyvkrusej
极具	gikkxi
极具	gikgxi
建站	ginzam
别具匠心	bitkxizxjsrm
别具匠心	bitgxizxjsrm
云消雾散	wrnsiumousan
入木三分	yrpmuksamfrn
骋骛	cijmou
黪黩	camduk
胆大包天	damdaibautin
无可奉告	mouhofujgou
无可奉告	mouhofujguk
止住	zizv
若要	yxkyiu
和风细雨	wofujsriyv
和风细雨	wufujsriyv
宁波市	nijbosi
他对	tadxi
大行	daihaj
大行	daihoj
大行	daihrj
特异	drkyi
特异	hoyi
二审	yisrm
凉风	lxjfuj
她就	tazru
锦绣河山	grmsruyvnsan
锦绣河山	grmsruhosan
不给	brtkrp
面面俱到	minminkxidou
寻呼	crmfu
弄虚作假	lujhxizokga
弄虚作假	nujhxizokga
画龙点睛	waklujdimzij
画龙点睛	walujdimzij
副总裁	fuzujcoi
盘活	punwut
淡而无味	damyimoumei
淡而无味	tamyimoumei
小朋友	siuprjyru
总会	zujwui
图库	toufu
文人墨客	mrnyrnmrkhak
找人	zauyrn
飞黄腾达	fiwojtrjdat
飞黄腾达	fiwojtrjtat
飞黄腾达	feiwojtrjdat
飞黄腾达	feiwojtrjtat
经意	gijyi
成都市	sijdousi
成都市	sejdousi
青海省	cijhoisaj
青海省	cijhoisij
青海省	cejhoisaj
青海省	cejhoisij
在那	zoina
河东狮吼	yvndujsihru
河东狮吼	yvndujsihau
河东狮吼	hodujsihru
河东狮吼	hodujsihau
横行霸道	zvhajbadou
横行霸道	zvhojbadou
横行霸道	zvhrjbadou
横行霸道	wajhajbadou
横行霸道	wajhojbadou
横行霸道	wajhrjbadou
又一次	yruyrtci
桃红柳绿	touhujlruluk
请勿	cijmrt
请勿	cejmrt
较快	gaufai
心理学	srmleihok
新中国	srnzujiok
笑着	siuzv
笑着	siuzxk
赛前	coicin
下一步	hayrtbou
彩图	coitou
砸了	zakliu
砸了	zapliu
尽在	zxnzoi
偷偷摸摸	trutrumokmok
偷偷摸摸	trutrumokmo
偷偷摸摸	trutrumomok
偷偷摸摸	trutrumomo
熬到	jaudou
熬到	joudou
旅行社	lxihajse
旅行社	lxihojse
旅行社	lxihrjse
左思右想	zosiyrusxj
好书	housv
两三	lxjsam
固步自封	gubouzifuj
房源	fojyvn
年高	ningou
学贯中西	hokgunzujsri
本帖	buntip
硬仗	jajzxj
忠贞不渝	zujzijbrtyv
自定义	zidijyi
好了	houliu
综合性	zujhrpsij
综合性	zujgapsij
自顾不暇	zigubrtha
蚯蚓	yruyrn
总代理	zujdoilei
风吹	fujcxi
对着	dxizv
对着	dxizxk
珠三角	zvsamgok
板材	bancoi
共产党	gujcandoj
维生素	wrisrjsou
维生素	wrisajsou
自查	zica
浅谈	cintam
心目中	srmmukzuj
洽谈会	hrptamwui
他就	tazru
钢铁厂	gojtitcoj
手气	sruhei
迍邅	zxnzin
走投无路	zrutrumoulou
便民	binmrn
便民	pinmrn
为民	wrimrn
同性恋	tujsijlvn
日韩	yrthon
烦人	fanyrn
三种	samzuj
岁寒三友	sxihonsamyru
抓好	zauhou
抓好	auhou
抓好	zahou
孤云野鹤	guwrnyehok
昵称	nikcij
太小	taisiu
初探	cotam
深思熟虑	srmsidrklxi
深思熟虑	srmsisuklxi
公安局	gujonguk
公安局	gujjonguk
好消息	housiusik
检察院	gimcatyvn
人所	yrnso
第一条	driyrttiu
菝葜	brtkri
走上	zrusxj
风雷	fujlxi
不知所云	brtzisowrn
不知所云	brtkeisowrn
几率	geilxt
几率	geisxt
无线电	mousindin
老生常谈	lousrjsxjtam
老生常谈	lousajsxjtam
惊心动魄	gejsrmdujpak
惊心动魄	gijsrmdujpak
又会	yruwui
目中无人	mukzujmouyrn
匪夷所思	feiyisosi
瞬息万变	sxnsikmanbin
第二届	driyigai
响起	hxjhei
这句话	zegxiwa
赤膊上阵	cikboksxjzrn
赤膊上阵	cekboksxjzrn
有效性	yruhausij
做起	zouhei
感受到	grmsrudou
不算	brtsvn
全屏	cvnpij
全屏	cvnbij
英文版	yijmrnban
阿那克西曼德	anahaksrimandrk
阿那克西曼德	anahrksrimandrk
阿那克西曼德	onahaksrimandrk
阿那克西曼德	onahrksrimandrk
将有	zxjyru
远走高飞	yvnzrugoufi
远走高飞	yvnzrugoufei
总面积	zujminzik
极高	gikgou
越是	yvtsi
星火燎原	sijfoliuyvn
蓟门	grimun
新宠	srncuj
源代码	yvndoima
留名	lrumij
留名	lrumej
就越	zruyvt
丰富多彩	fujfudocoi
听歌	tejgo
听歌	tijgo
罔两	mojlxj
俚语	leiyv
两人	lxjyrn
不应该	brtyijgoi
几张	geizxj
可用	hoyuj
满城风雨	munsijfujyv
满城风雨	munsejfujyv
安徽省	onfrisaj
安徽省	onfrisij
安徽省	jonfrisaj
安徽省	jonfrisij
敝帚自珍	brizruzizrn
敝帚自珍	brizauzizrn
半导体	bundoutri
求购	krugru
求购	krukru
也在	yazoi
电话机	dinwagei
痛心疾首	tujsrmzrtsru
关系到	ianhridou
诟詈	grulei
就想	zrusxj
并可	bijho
天时地利人和	tinsideilriyrnwo
天时地利人和	tinsideilriyrnwu
天时地利人和	tinsideileiyrnwo
天时地利人和	tinsideileiyrnwu
羁勒	geilrk
羁勒	geilak
沈阳市	srmyxjsi
沈阳市	crmyxjsi
把她	bata
教育局	gauyukguk
这回	zewui
说完	sxiyvn
说完	svtyvn
趑趄	cizxi
趑趄	zizxi
国泰民安	ioktaimrnon
国泰民安	ioktaimrnjon
过长	iocxj
过长	iozxj
输入法	svyrpfat
拚搏	pijbok
拚搏	punbok
气吞山河	heitrnsanyvn
气吞山河	heitrnsanho
摄影师	sipyijsi
若不	yxkbrt
会把	wuiba
不同于	brttujyv
择业	zakyip
上上	sxjsxj
薏苡	yiyi
宽宏大度	funwrjdaidok
宽宏大度	funwrjdaidou
嵌入式	hrmyrpsik
无视	mousi
丽人	lriyrn
燕婉	yinyvn
淘宝	toubou
一将难求	yrtzxjnankru
济南市	zrinamsi
优柔	yruyru
心有余悸	srmyruyviri
对此	dxici
赴美	fumei
铁杵成针	titcvsijzrm
铁杵成针	titcvsejzrm
操盘	coupun
如愿以偿	yvyvnyisxj
人不可貌相	yrnbrthomausxj
喜笑颜开	heisiujanhoi
大城市	daisijsi
大城市	daisejsi
它将	tazxj
节后	zithru
节后	zitirn
二十世纪	yisrpsrigei
他将	tazxj
松松	cujcuj
松松	cujsuj
松松	sujcuj
松松	sujsuj
忍痛割爱	yrntujgotjoi
忍痛割爱	yrntujgotoi
总厂	zujcoj
利税	lrisxi
利税	leisxi
终止	zujzi
价目表	lokmukbiu
价目表	gamukbiu
坚强不屈	ginkxjbrtwrt
有何	yruho
已在	yizoi
不需	brtsxi
未成年	meisijnin
未成年	meisejnin
如数	yvsou
一身正气	yrtsrnzejhei
一身正气	yrtsrnzijhei
寻人	crmyrn
一枚	yrtmui
呆头呆脑	joitrujoinou
呆头呆脑	joitrudainou
呆头呆脑	daitrujoinou
呆头呆脑	daitrudainou
安东	onduj
安东	jonduj
色带	sikdai
疯疯颠颠	fujfujdindin
很累	hrnlxi
三轮	samlxn
神采奕奕	srncoiyikyik
所学	sohok
取之不尽	cxizibrtzxn
瑰玮	iriwri
峨嵋	jomei
高危	goujri
传真机	cvnzrngei
传真机	zvnzrngei
豁达大度	kutdatdaidok
豁达大度	kutdatdaidou
豁达大度	kuttatdaidok
豁达大度	kuttatdaidou
慎言谨行	srnyingrnhaj
慎言谨行	srnyingrnhoj
慎言谨行	srnyingrnhrj
大刀阔斧	daidoufutfu
常人	sxjyrn
编委	pinwri
水滴石穿	sxidiksekcvn
候选人	hrusvnyrn
蜾蠃	iolo
龙飞凤舞	lujfifujmou
龙飞凤舞	lujfeifujmou
两次	lxjci
建房	ginfoj
去吧	hxiba
现将	yinzxj
马到成功	madousijguj
马到成功	madousejguj
大智大勇	daizidaiyuj
